,subject,tracker,amp_r,amp_l,diff
0,AE01,EL,0.6568249525885733,0.07018691232513205,0.5866380402634411
1,AE01,Ideal,0.6568249525885733,0.07018691232513205,0.0
2,AE01,ML,0.3245865589813172,0.5761989672885096,-0.25161240830719245
3,AE02,EL,1.3830960985625511,1.5012275546239935,-0.1181314560614423
4,AE02,Ideal,1.3830960985625511,1.5012275546239935,0.0
5,AE02,ML,1.931892768481368,1.5231543031692851,0.40873846531208285
6,AE03,EL,1.0526268027925911,0.8823893140753623,0.170237488717229
7,AE03,Ideal,1.0526268027925911,0.8823893140753623,0.0
8,AE03,ML,0.2661748869168527,0.11509854854634965,0.1510763383705031
9,AE04,EL,-0.35430733016980553,-0.264342489673208,-0.08996484049659755
10,AE04,Ideal,-0.35430733016980553,-0.264342489673208,0.0
11,AE04,ML,-0.30263669348430344,0.02365734318622351,-0.326294036670527
12,AE05,EL,-0.06823139509076342,-0.05221584486743964,-0.016015550223323766
13,AE05,Ideal,-0.06823139509076342,-0.05221584486743964,0.0
14,AE05,ML,-0.05365194532657712,0.09637144046855756,-0.1500233857951347
15,AE06,EL,-0.6135751699149501,-0.568438498117392,-0.04513667179755809
16,AE06,Ideal,-0.6135751699149501,-0.568438498117392,0.0
17,AE06,ML,-0.34799402134066243,-0.16541520875731616,-0.1825788125833462
18,AE07,EL,-0.2898643485335448,-0.23701208942108817,-0.05285225911245662
19,AE07,Ideal,-0.2898643485335448,-0.23701208942108817,0.0
20,AE07,ML,-0.590670812653346,0.08381885758307031,-0.6744896702364164
21,AE08,EL,0.9860001095996836,0.9252348987839641,0.06076521081571959
22,AE08,Ideal,0.9860001095996836,0.9252348987839641,0.0
23,AE08,ML,0.990466933649169,0.9807802290483536,0.009686704600815466
24,AE09,EL,0.006158530803630129,-0.06883124136458744,0.07498977216821759
25,AE09,Ideal,0.006158530803630129,-0.06883124136458744,0.0
26,AE09,ML,0.08700978682059154,0.16750077921972648,-0.08049099239913496
27,AE10,EL,0.16893238877331443,-0.13213414545403826,0.30106653422735263
28,AE10,Ideal,0.16893238877331443,-0.13213414545403826,0.0
29,AE10,ML,-0.14047507752951663,0.057953722266687616,-0.19842879979620423
30,AE11,EL,-0.6065845006536076,-0.6042973843334194,-0.0022871163201882943
31,AE11,Ideal,-0.6065845006536076,-0.6042973843334194,0.0
32,AE11,ML,-0.7201042227680529,-0.4153731257493932,-0.30473109701865964
33,AE12,EL,-0.11580753883120574,-0.22972533862790379,0.11391779979669799
34,AE12,Ideal,-0.11580753883120574,-0.22972533862790379,0.0
35,AE12,ML,0.538271125694338,0.16172852180864628,0.3765426038856918
36,AE13,EL,-0.6552887695493297,-0.7849589798808042,0.1296702103314745
37,AE13,Ideal,-0.6552887695493297,-0.7849589798808042,0.0
38,AE13,ML,-0.32728340756792035,-0.5221908613646494,0.19490745379672905
