,id_start_el,id_end_el,id_start_ah,id_end_ah,t_start_el,t_end_el,t_start_ah,t_end_ah,pos_start_el,pos_end_el,pos_start_ah,pos_end_ah,amp_el,amp_ah,peak_vel_el,peak_vel_ah,subject,task,trial,corr
0,585,600,532,547,2.344,2.348,2.3400000000000003,2.3440000000000003,-4.041382786737769,-14.633957383964184,8.98256120305486,-0.45624060443491143,-10.592574597226415,-9.438801807489773,247.07654008093877,336.71496911020716,AE12,VMS,0,0.952690904243522
1,317,322,303,306,1.272,1.276,1.424,1.428,-6.54748844385622,-4.812559871963525,7.27183833089002,8.043685149932974,1.734928571892695,0.7718468190429544,97.40820622853155,65.26417016165982,AE12,VMS,0,0.952690904243522
0,563,576,585,599,2.256,2.26,2.2359999999999998,2.2399999999999998,-8.82480850765876,1.1566195665968877,6.581492620565692,13.892330804703576,9.981428074255648,7.310838184137884,277.02133266711525,261.93182035791733,AE12,VMS,1,0.9462291625701061
1,311,316,365,372,1.248,1.252,1.3559999999999999,1.3599999999999999,-6.955766735946743,-8.726759916473227,8.182193828734453,6.74193541381361,-1.7709931805264842,-1.4402584149208435,110.5727367882392,54.91155385310719,AE12,VMS,1,0.9462291625701061
0,557,573,575,592,2.232,2.236,2.2199999999999998,2.2239999999999998,-7.975517684359028,2.356259394123904,7.446209288899828,14.29426630387464,10.331777078482933,6.8480570149748115,229.25696427475157,149.38422768910493,AE12,VMS,2,0.8267551586962087
1,486,496,511,521,1.948,1.952,1.964,1.968,-12.91657366548876,-8.257301281852214,2.930570109374333,6.698940402056843,4.659272383636546,3.7683702926825102,137.9379464323148,122.20763174795962,AE12,VMS,2,0.8267551586962087
0,551,563,461,473,2.208,2.212,2.212,2.216,-11.30459712446303,-17.972959757316826,9.355521145599356,1.7691591706361316,-6.668362632853796,-7.586361974963225,188.66269094023883,180.4467315751396,AE12,VMS,3,0.8587329653473226
1,308,315,254,263,1.236,1.24,1.384,1.388,-13.367099201401125,-10.574911958173537,8.129458706366693,10.96956022621099,2.7921872432275876,2.840101519844298,118.72539641091413,118.20603700750013,AE12,VMS,3,0.8587329653473226
0,552,571,489,508,2.212,2.216,2.216,2.2199999999999998,-3.1727222524205336,-17.540091285597427,15.861777338649258,1.7347424188100486,-14.367369033176892,-14.12703491983921,260.13551787343243,351.3680938280693,AE12,VMS,4,0.9141482112184715
1,300,311,272,282,1.204,1.208,1.348,1.352,-10.386714560448265,-4.3751935127656365,10.263911600279751,14.991733801014618,6.011521047682629,4.727822200734867,192.2816278183077,209.25642632148666,AE12,VMS,4,0.9141482112184715
