,id_start_el,id_end_el,id_start_ah,id_end_ah,t_start_el,t_end_el,t_start_ah,t_end_ah,pos_start_el,pos_end_el,pos_start_ah,pos_end_ah,amp_el,amp_ah,peak_vel_el,peak_vel_ah,subject,task,trial,corr
0,557,568,581,594,2.232,2.236,2.2199999999999998,2.2239999999999998,1.1194834671917566,-12.166977073962023,0.9528095222506541,-8.769748634641436,-13.28646054115378,-9.72255815689209,441.3124688004833,262.93940166315343,AE03,VMS,0,0.9204400800982661
1,306,313,330,338,1.228,1.232,1.216,1.22,-1.937255238583076,1.533277671923787,-1.17677760970099,1.1550218653929174,3.470532910506863,2.3317994750939075,165.12897480705723,92.35674069560484,AE03,VMS,0,0.9204400800982661
0,555,569,620,636,2.224,2.228,2.196,2.2,-3.8588537022062193,8.701753421343948,-2.785426363996417,6.697948355396564,12.560607123550167,9.48337471939298,343.32908571337646,213.37878617528776,AE03,VMS,1,0.7145432347800538
1,304,311,370,379,1.22,1.224,1.196,1.2,-1.409552682259997,-5.931556261580857,-1.0006633593370862,-4.138790510386482,-4.5220035793208595,-3.1381271510493955,207.8365311647488,123.34308278910194,AE03,VMS,1,0.7145432347800538
0,304,314,415,427,1.22,1.224,1.088,1.092,-0.8868784737393091,-13.063670486378475,-0.9239865697638916,-9.311461028483498,-12.176792012639167,-8.387474458719606,444.20851905840914,256.56695549058037,AE03,VMS,2,0.7519667080109571
1,558,572,666,681,2.236,2.24,2.092,2.096,-3.0652046258260386,8.327389662105656,-1.5918409362437917,6.951830789303384,11.392594287931693,8.543671725547176,311.37658725437655,219.62717575657683,AE03,VMS,2,0.7519667080109571
0,316,326,324,336,1.268,1.272,1.26,1.264,-8.377936662353319,3.1601169694617592,-5.406774114869645,2.6886773939844417,11.538053631815078,8.095451508854087,429.4259286070119,243.42208527107397,AE03,VMS,3,0.913036461028923
1,561,572,570,583,2.248,2.252,2.2439999999999998,2.2479999999999998,-3.601787344244948,-13.494149459033288,-2.186975437331624,-9.264752076818015,-9.892362114788341,-7.077776639486391,297.9974573637264,201.73774434011526,AE03,VMS,3,0.913036461028923
0,414,428,427,443,1.66,1.664,1.656,1.66,8.15749690800637,-6.971524900542604,6.782837876767436,-4.246189680652059,-15.129021808548973,-11.029027557419496,381.7691626940102,235.5931832713308,AE03,VMS,4,0.9622921204889484
1,301,313,314,327,1.208,1.212,1.204,1.208,-0.8540487100951162,7.939761473842272,-0.021275289732569425,6.586848130688724,8.793810183937389,6.608123420421293,290.0791376832914,187.4256894048534,AE03,VMS,4,0.9622921204889484
0,466,479,662,677,1.868,1.872,1.86,1.864,5.0810529368238555,-6.5241963710056385,4.061394750589246,-4.468900540502701,-11.605249307829494,-8.530295291091946,328.2036962801103,198.02764895207343,AE03,VMS,5,0.48301570271891997
1,310,319,507,518,1.244,1.248,1.24,1.244,-0.8182432658799089,5.77828543659446,-0.27945424044960854,4.608302686084061,6.596528702474369,4.887756926533669,272.0474059643808,168.38698913353633,AE03,VMS,5,0.48301570271891997
0,424,440,445,463,1.7,1.704,1.708,1.712,6.764402277755064,-7.929109663066533,5.541554587186724,-4.955238043879341,-14.693511940821598,-10.496792631066064,312.77249551040825,209.66091840117738,AE03,VMS,6,0.8795243530287897
1,306,317,326,339,1.228,1.232,1.232,1.236,-1.3625619455100841,8.020628001649744,-0.5851420944696943,6.513858250635288,9.383189947159828,7.099000345104982,333.55082799691394,217.99352201342987,AE03,VMS,6,0.8795243530287897
0,461,478,650,668,1.848,1.852,1.7640000000000002,1.7680000000000002,-5.1256021662229525,-19.18423911396978,0.9562857179141693,-8.51717458226937,-14.058636947746828,-9.47346030018354,317.5265068457714,200.03019458401693,AE03,VMS,7,0.8547960979304201
1,621,649,810,841,2.488,2.492,2.4040000000000004,2.4080000000000004,-18.55205611737791,-31.32684192760515,-8.586674260370675,-19.183520457698375,-12.774785810227243,-10.5968461973277,194.08685391557822,184.35434460971643,AE03,VMS,7,0.8547960979304201
