,id_start_el,id_end_el,id_start_ah,id_end_ah,t_start_el,t_end_el,t_start_ah,t_end_ah,pos_start_el,pos_end_el,pos_start_ah,pos_end_ah,amp_el,amp_ah,peak_vel_el,peak_vel_ah,subject,task,trial,corr
0,568,579,629,643,2.276,2.28,2.26,2.2640000000000002,7.221187431783375,-4.961127747743973,4.15192281256725,-5.559124945797004,-12.182315179527347,-9.711047758364254,372.24794398305283,267.3256446407753,AE04,VMS,0,0.8977886648248604
1,314,320,375,383,1.26,1.264,1.244,1.248,4.8192923852550935,7.53787736735477,1.9226500837126825,4.213043540337063,2.718584982099676,2.2903934566243804,141.11679044420305,93.08311636026122,AE04,VMS,0,0.8977886648248604
0,561,577,667,683,2.248,2.252,2.232,2.236,1.6225870542663527,12.937984645297895,-0.011094045020986265,9.230889853098859,11.315397591031543,9.241983898119845,320.5941760839543,232.05968360814913,AE04,VMS,1,0.8870656545401012
1,312,318,417,426,1.252,1.256,1.232,1.236,4.684020509530807,0.8554681612047682,2.200499163853462,-0.7449009153218433,-3.828552348326039,-2.9454000791753057,207.99957137023043,119.63488479741254,AE04,VMS,1,0.8870656545401012
0,549,568,631,650,2.2,2.204,2.192,2.196,-5.004791498781774,13.722815781962062,-5.005736620590447,10.440435088283314,18.727607280743836,15.446171708873761,455.405467359112,317.6761438555591,AE04,VMS,2,0.9364676263426716
1,306,316,388,400,1.228,1.232,1.22,1.224,4.477617224606128,-5.597863119945647,2.038080745121674,-5.983454733758869,-10.075480344551774,-8.021535478880542,378.88975707942785,258.41433980228675,AE04,VMS,2,0.9364676263426716
0,562,574,610,624,2.252,2.256,2.2399999999999998,2.2439999999999998,7.406404890801019,-4.273756563269835,4.776402386170652,-4.763228069808635,-11.680161454070854,-9.539630455979287,388.8934773673333,272.20905188637903,AE04,VMS,3,0.8782636296043468
1,311,318,360,367,1.248,1.252,1.24,1.244,4.433674861369659,7.75783342498883,2.432850069237684,4.831598483344732,3.3241585636191706,2.3987484141070476,172.95902448717874,104.01631827857838,AE04,VMS,3,0.8782636296043468
0,560,577,656,675,2.244,2.248,2.232,2.236,13.353088171256216,-4.232402776912538,9.559908745841913,-5.1100419712886325,-17.585490948168754,-14.669950717130545,438.71695574165693,312.6390251574954,AE04,VMS,4,0.9354679611305804
1,307,320,405,418,1.232,1.236,1.2280000000000002,1.2319999999999998,4.472143807218954,14.10328414299814,2.4980880386658346,10.496387603253009,9.631140335779186,7.998299564587175,320.75932108029576,225.72898468956078,AE04,VMS,4,0.9354679611305804
0,556,570,594,609,2.228,2.232,2.2319999999999998,2.2359999999999998,10.416701807158134,-2.310750117160506,7.187712528520395,-3.034948873749298,-12.72745192431864,-10.222661402269694,336.9577710868024,239.5590958300579,AE04,VMS,5,0.914196048901307
1,309,320,347,359,1.24,1.244,1.244,1.248,4.512919764745435,10.934659782016746,2.1778424620810624,7.543410794542849,6.421740017271311,5.365568332461787,248.98782984736755,159.49960917063603,AE04,VMS,5,0.914196048901307
0,553,569,782,800,2.216,2.22,2.22,2.224,13.662997663093133,-3.5384866997176085,10.131956631596381,-4.1438877090989505,-17.201484362810742,-14.275844340695333,423.6490748491691,328.5340254898224,AE04,VMS,6,0.9033839008441594
1,303,312,532,545,1.216,1.22,1.2200000000000002,1.2240000000000002,5.120684867719051,13.560850621068186,2.7042347618563776,10.005934232979653,8.440165753349135,7.301699471123276,329.0307879215551,244.11147705957424,AE04,VMS,6,0.9033839008441594
0,557,569,654,669,2.232,2.236,2.16,2.164,10.772929910758407,-1.430125539480112,7.310231807778851,-2.8061215891940847,-12.20305545023852,-10.116353396972936,395.28975658925907,268.628220980282,AE04,VMS,7,0.7947507827992838
1,300,310,399,410,1.204,1.208,1.1400000000000001,1.1440000000000001,5.127539158234535,11.451648399394802,2.739113883798772,8.038967223673916,6.324109241160267,5.299853339875144,222.7179696015583,174.12234225890123,AE04,VMS,7,0.7947507827992838
0,560,576,643,662,2.244,2.248,2.232,2.236,13.826222638796791,-3.4612611140591207,10.28910130097903,-4.31371270758116,-17.287483752855913,-14.602814008560191,424.98279590838405,310.37132264356944,AE04,VMS,8,0.9349834105614502
1,310,325,394,410,1.244,1.248,1.2360000000000002,1.2400000000000002,4.966566717897626,12.86073971643981,2.5127540835044657,9.161548948216083,7.894172998542183,6.6487948647116175,229.05069077866105,177.83228258436182,AE04,VMS,8,0.9349834105614502
0,555,572,659,679,2.224,2.228,2.208,2.212,13.761619248521692,-4.128692423716096,10.416709776836406,-4.6669340890975874,-17.890311672237786,-15.083643865933993,407.53797758248646,307.9804334111733,AE04,VMS,9,0.9204925377157727
1,301,315,406,421,1.208,1.212,1.196,1.2,5.164461914726313,13.81014493337117,2.4903937691931994,9.863690363292417,8.645683018644856,7.373296594099218,265.06451106054556,189.85032460823373,AE04,VMS,9,0.9204925377157727
0,544,554,662,675,2.18,2.184,2.164,2.168,8.457707048072077,-1.813538903793992,5.250747100432967,-3.169733603108352,-10.271245951866069,-8.420480703541319,382.1392786969276,247.96034635566812,AE04,VMS,10,0.9056890918849733
1,580,585,698,705,2.324,2.328,2.308,2.312,-2.1488542604969973,-4.284662545774555,-3.453705275048505,-5.125681109700052,-2.135808285277558,-1.6719758346515468,149.00842477416128,75.29548059373886,AE04,VMS,10,0.9056890918849733
0,553,572,587,609,2.216,2.22,2.2159999999999997,2.2199999999999998,14.086636215939807,-4.947017710865217,10.367516899855254,-5.8411294871368415,-19.033653926805023,-16.208646386992093,404.9424792370361,293.18909443831296,AE04,VMS,11,0.9125711748029055
1,307,317,342,355,1.232,1.236,1.2360000000000002,1.2399999999999998,5.2476109400365285,13.266839202955786,2.737898960460691,9.829121523490091,8.019228262919258,7.0912225630294,319.1976865942314,211.67129625932085,AE04,VMS,11,0.9125711748029055
0,517,537,733,753,2.072,2.076,2.068,2.072,13.489665701492516,-2.5044426737269,9.624084621016333,-3.5724106886483065,-15.994108375219415,-13.19649530966464,390.3983498436266,281.7963495451574,AE04,VMS,12,0.8552485378538983
1,307,321,522,535,1.232,1.236,1.2240000000000002,1.2280000000000002,5.299521581666715,13.937737174721665,2.736092122592108,9.801320843691443,8.63821559305495,7.065228721099334,307.7011523653503,222.79757230804233,AE04,VMS,12,0.8552485378538983
