,subject,trial,start,end,el_rx,el_rx_sd,el_ry,el_ry_sd,el_lx,el_lx_sd,el_ly,el_ly_sd,ah_rx,ah_rx_sd,ah_ry,ah_ry_sd,ah_lx,ah_lx_sd,ah_ly,ah_ly_sd,el_rcorr,el_lcorr,ah_rcorr,ah_lcorr,el_r_bcea,el_l_bcea,ah_r_bcea,ah_l_bcea
30,7,1,3000,5000,0.17,0.05,0.26,0.13,0.18,0.14,-0.23,0.13,-0.85,0.18,-0.29,0.06,0.84,0.16,-0.88,0.21,0.253618898,0.670537438,-0.268624359,-0.629991921,-1.3443485988986423,-1.0124225080015035,-1.1256645137160395,-0.7262874313838733
31,7,2,3700,5700,0.21,0.14,0.04,0.1,-0.1,0.23,-0.49,0.14,-1.24,0.2,-1.08,0.15,0.26,0.21,-0.98,0.22,-0.023740869,-0.388654754,0.446139352,0.587760846,-0.9968194273946516,-0.6705287541014668,-0.7138984565679098,-0.5702158994202243
32,7,3,2400,4400,0.55,0.13,0.43,0.12,0.34,0.13,0.14,0.13,-0.89,0.16,-0.92,0.13,0.41,0.12,-0.75,0.11,0.257696039,0.347314413,0.468161261,-0.392731058,-0.9646217041917473,-0.9428518444262781,-0.8784848388475666,-1.0586269415360083
33,7,4,2400,4400,0.11,0.12,0.29,0.13,0.1,0.07,0.4,0.23,-0.64,0.19,-0.76,0.16,0.68,0.06,-0.52,0.22,0.225569159,-0.143714024,0.809841333,-0.215778689,-0.9610402079673015,-0.9405310232303269,-0.891573141145345,-1.0326045236790797
34,7,5,3200,5200,0.01,0.08,0.41,0.15,0.05,0.05,-0.02,0.17,-0.35,0.08,0.27,0.09,0.36,0.05,-0.51,0.22,0.595286203,-0.02616536,-0.21622194,-0.39885538,-1.1586504824481394,-1.2135548279761315,-1.2958895737539553,-1.1390564618653236
35,8,1,2800,4700,-0.48,0.11,0.28,0.08,0.53,0.06,-0.23,0.15,-0.5,0.13,-0.03,0.08,0.71,0.17,0.13,0.8,-0.172881381,-0.281685371,-0.383921899,-0.598489756,-1.2049314213188218,-1.2065344593738403,-1.1604180221592628,-0.10558288593553662
36,8,2,2800,4800,-0.15,0.07,-0.09,0.33,0.51,0.12,-0.09,0.37,0.11,0.19,-0.31,0.07,0.56,0.31,-2.19,0.76,-0.624831862,-0.406562345,-0.660671579,-0.697216593,-0.8866958709366024,-0.5346750246964396,-1.1435214024755702,0.08478491825169297
37,8,3,0,2000,-0.77,0.14,-3.63,0.2,-0.62,0.17,-3.54,0.12,-0.77,0.14,-3.63,0.2,-0.62,0.17,-3.54,0.12,-0.874477977,0.328167758,0.521593344,-0.120045728,-1.009866870602189,-0.8579379828953296,-0.7646191002079619,-0.8363469417031902
38,8,4,600,2600,-0.61,0.08,-0.85,0.07,-0.08,0.15,-0.89,0.07,-0.65,0.2,-0.87,0.27,-0.21,0.35,-0.26,0.81,0.128245312,-0.545314862,-0.779389823,-0.815295289,-1.3982380965150731,-1.1982718688653404,-0.6134829555866684,0.07244065166137116
39,8,5,2200,3800,-0.21,0.12,-0.07,0.16,0.3,0.07,0.13,0.12,-0.63,0.14,-0.06,0.1,0.03,0.3,-0.21,0.37,-0.58503426,-0.380043355,0.464671435,-0.413123731,-0.9504983613226887,-1.2524187272466285,-1.049516687643662,-0.13813869014338265
40,9,1,1500,3500,0.34,0.1,-0.05,0.13,-0.08,0.06,-0.05,0.14,-0.84,0.26,-0.49,0.18,-0.21,0.1,-2.13,0.35,0.383302236,-0.367408145,0.628784524,0.276517528,-1.0633869594481369,-1.2500348729191542,-0.581834331096284,-0.6160295955954003
41,9,2,3300,5300,0.35,0.06,0.37,0.17,0.02,0.06,0.39,0.14,-1.11,0.19,-1.18,0.28,0.28,0.18,-1.25,0.66,0.701938128,0.147122278,0.695013781,-0.305604847,-1.2815997701024302,-1.2232975097843612,-0.5601866811124796,-0.08929938025175081
42,9,3,900,2900,0.36,0.04,0.4,0.15,-0.08,0.1,0.61,0.16,-0.75,0.14,-0.58,0.28,0.59,0.15,-1.36,0.34,-0.19612639,0.469931508,0.439244973,-0.517560945,-1.373191365773695,-0.992890510940162,-0.5960850226878919,-0.5029605623237421
43,9,4,2200,4200,0.65,0.06,0.26,0.25,-0.43,0.12,0.69,0.12,-0.19,0.12,-0.72,0.27,0.23,0.15,-0.22,0.5,0.733875795,0.632981933,0.439215745,0.383717532,-1.134682598592464,-1.0956281343361565,-0.6788191713645215,-0.30235014638559066
44,9,5,2300,4300,0.43,0.07,0.54,0.1,-0.14,0.13,0.9,0.14,-0.55,0.18,-0.52,0.17,0.44,0.25,-0.56,0.21,-0.076925529,-0.588264636,0.409627311,0.426015545,-1.299015791952239,-0.974983131984944,-0.6969883296375894,-0.46615353945342114
45,10,1,2300,4300,0.57,0.12,0.23,0.17,-0.47,0.07,0.27,0.11,0.0,0.13,0.34,0.14,0.75,0.12,0.26,0.11,-0.162171572,-0.072730926,-0.260796794,-0.131901577,-0.8389822006672654,-1.2574860245735147,-0.8980491813299758,-1.0260622907757735
46,10,2,1600,3600,0.14,0.19,0.21,0.13,-0.07,0.11,0.19,0.12,-0.39,0.24,-0.35,0.22,0.43,0.22,-0.44,0.13,-0.308456721,-0.04414586,0.821576728,-0.702061286,-0.7718387212729262,-1.0226747087253103,-0.6642416312897906,-0.8339079387277734
47,10,3,2800,3800,-0.08,0.1,-0.26,0.15,-0.59,0.14,-0.27,0.15,-0.87,0.12,-0.27,0.2,2.13,0.12,-0.72,0.12,0.46851169,0.27108258,0.658671608,-0.669252857,-1.0205482166732964,-0.8371796953130393,-0.8861473836292852,-1.1134534311950994
48,10,4,1700,3700,1.17,0.25,-3.16,0.17,0.07,0.3,-3.24,0.19,-0.61,0.25,-2.68,0.23,0.8,0.36,-1.86,0.28,0.720780369,0.844730724,0.767126764,-0.855108761,-0.6736004122108727,-0.6584409279673455,-0.5759635520786278,-0.4246587546888666
49,10,5,3000,3800,0.53,0.11,0.68,0.11,0.55,0.17,0.79,0.19,-0.24,0.25,-0.53,0.09,2.12,0.25,-1.45,0.22,0.37743916,0.868337291,0.40802515,-0.777380869,-1.093412555266042,-0.9381634814059019,-0.8301856858300122,-0.6037908564087149
50,11,1,3600,5600,0.27,0.06,-0.23,0.15,0.06,0.14,0.35,0.15,-0.77,0.23,-1.52,0.19,0.31,0.15,-2.21,0.26,-0.601789989,0.156732535,0.246225601,-0.80816339,-1.2862236541581007,-0.8260065955470661,-0.5159245752731759,-0.7816758495460348
51,11,2,2600,4600,0.36,0.13,-0.11,0.23,0.53,0.05,-0.15,0.16,0.12,0.24,-0.93,0.23,0.74,0.09,-1.49,0.11,0.373636089,-0.43220043,-0.225379255,-0.105179369,-0.6998046400313274,-1.284635621586297,-0.41220613675206796,-1.1496054646469986
52,11,3,1500,3500,0.24,0.17,-0.25,0.3,-0.42,0.09,0.08,0.11,-0.26,0.15,-0.6,0.26,0.13,0.2,0.4,0.23,0.350404949,-0.30005573,0.03284979,0.607715229,-0.46370149780278125,-1.167677127333423,-0.5519948830898824,-0.580161919334564
53,11,5,1150,3100,0.35,0.06,1.04,0.28,-0.78,0.07,1.1,0.21,0.63,0.25,-0.08,0.57,-0.62,0.21,0.58,0.21,-0.604799791,0.503194913,0.147626809,0.708500873,-1.0163967440372064,-1.0389070376150753,0.006205059589777008,-0.6497602169023409
54,12,1,0,2000,-0.37,0.47,0.61,0.33,1.42,0.34,0.87,0.62,-0.37,0.47,0.61,0.33,1.42,0.34,0.87,0.62,-0.90329347,-0.818595187,-0.566442122,0.661165092,-0.31973246134956784,-0.05976201014006371,-0.036232522846225045,0.05624603980000841
55,12,2,500,1500,0.25,0.27,-0.19,0.23,-0.12,0.32,-0.13,0.47,-0.12,0.68,-0.91,0.41,0.24,0.35,0.33,0.72,0.061369047,-0.116923966,-0.629893566,0.394646679,-0.350552793059115,0.031433652272922614,0.19271067150872861,0.22181206582504912
56,12,3,3700,5200,0.73,0.22,0.82,0.16,0.58,0.16,1.22,0.27,-0.78,0.61,0.86,0.3,0.44,0.32,0.74,0.28,0.299027001,-0.084101159,-0.40678908,0.534876646,-0.6166226407471546,-0.5088826322151839,0.08034511439324883,-0.26369621633379275
57,12,4,400,2400,-0.01,0.25,0.36,0.19,-0.08,0.22,0.38,0.17,-1.01,1.14,-0.48,0.56,0.88,0.27,-0.44,0.37,0.290464722,-0.083733069,-0.738483811,-0.427282406,-0.4852713635226663,-0.5714812667458559,0.4911024550254255,-0.18703433126889066
58,12,5,200,2200,0.6,0.3,1.09,0.28,-0.17,0.3,0.87,0.25,-1.71,1.12,1.88,0.69,-0.49,0.31,3.27,0.61,0.110779344,0.334643206,-0.689565601,-0.134125728,-0.221227083280758,-0.2935538867884965,0.6051145242635956,0.12992450981091389
59,13,1,200,2200,0.04,0.11,0.12,0.11,0.1,0.14,0.58,0.21,-0.23,0.14,-1.12,0.37,0.42,0.22,-0.6,0.28,-0.692089185,0.507624367,-0.123465397,-0.438205219,-1.2016155713368544,-0.7391828575677308,-0.4318308953605373,-0.39954504557918447
60,13,2,1800,3800,0.09,0.12,1.0,0.3,-0.1,0.1,1.63,0.34,0.0,0.29,-0.59,0.48,0.27,0.13,-0.47,0.41,-0.4543019,0.40164282,-0.687467364,0.386546519,-0.6367190307588622,-0.6495471893803793,-0.13812042425498783,-0.4512397890743734
61,13,3,1300,3300,0.34,0.12,1.11,0.08,0.0,0.06,1.92,0.14,0.57,0.21,-0.07,0.16,0.63,0.19,-1.49,0.34,-0.276110396,0.165483182,0.330196611,-0.651756953,-1.1777735118980437,-1.2245751998373016,-0.6415541719091287,-0.45267822126493057
62,13,4,1300,3300,0.26,0.12,0.38,0.13,-0.03,0.12,1.21,0.13,0.04,0.17,-1.12,0.18,1.61,0.17,-0.93,0.17,-0.080501967,-0.05661418,0.397605648,-0.392595186,-0.9511122565824324,-0.9503975503555493,-0.6944708424597023,-0.7182756357823245
63,13,5,3600,5600,0.58,0.17,1.34,0.25,0.22,0.11,2.46,0.27,-0.38,0.26,-1.04,0.42,1.42,0.21,-0.58,0.31,0.510100864,0.141840503,-0.418020887,-0.348866725,-0.5798797932820479,-0.6744818602211068,-0.14630738665409662,-0.3574245840436347
