subject,id,trial,stream,freq,amp,coeff_el,coeff_ah,slope_el,slope_ah,slope_tar,gain_el,gain_ah
1,AE01,1,right,0.2,-9,0.99509362641114,0.995920041109035,10.0442475909711,9.0362498897684,10.8660298353531,0.924371434936767,0.831605473819753
1,AE01,1,left,0.2,-9,0.985047748615918,0.930416953047752,9.99675819883712,7.03308158431387,10.8660298353531,0.920000989350519,0.647254028461382
1,AE01,2,right,0.1,-9,0.999419244240647,0.999599297080531,-4.54188998438229,-3.91434456777566,-4.98897176530716,0.91038598694147,0.784599462958608
1,AE01,2,left,0.1,-9,0.999595121790674,0.998388496053414,-4.31921167292019,-2.77610665909172,-4.98897176530716,0.865751877562344,0.556448661104179
1,AE01,3,right,0.1,-9,0.9995461497032,0.999625073202647,-4.68991737283894,-4.14718476639725,-4.98897176530716,0.940056908209459,0.831270442385821
1,AE01,3,left,0.1,-9,0.999652256662808,0.998442304665948,-4.50495999124718,-2.70476542164373,-4.98897176530716,0.902983661397774,0.542148873331457
1,AE01,4,right,0.2,9,0.997866681436872,0.995641989954751,-9.28094177087226,-7.98309445124771,-10.8660298353531,0.854124451294648,0.73468364915347
1,AE01,4,left,0.2,9,0.997754192812547,0.631115592403209,-9.20985472650907,-18.1276201205251,-10.8660298353531,0.847582315349843,1.66828366893914
1,AE01,5,right,0.01,9,0.998225125291924,0.995037959427492,0.514502033217418,0.199318302228022,0.565149628070223,0.910381972601225,0.352682355836666
1,AE01,5,left,0.01,9,0.995011487695183,0.946301964781534,0.540478288844744,1.95059386578242,0.565149628070223,0.956345473835446,3.45146447754549
1,AE01,6,right,0.1,9,0.999592169805958,0.999754540784838,4.26415066528393,4.15087886245226,4.98897176530716,0.854715333315059,0.832010894773363
1,AE01,6,left,0.1,9,0.999295099203119,0.979896494974222,4.13863568532693,4.04585124494426,4.98897176530716,0.829556846584423,0.81095893808795
1,AE01,7,right,0.01,-9,0.997373348988638,0.98413389540514,-0.335638707832347,-0.308034028245179,-0.565149628070223,0.593893530423844,0.545048625966545
1,AE01,7,left,0.01,-9,0.997862586001871,0.992490433722524,-0.471769500863201,-0.172363549620963,-0.565149628070223,0.834769196388078,0.304987460063489
1,AE01,8,right,0.2,9,0.992449086092873,0.995585533996537,-5.53074666907605,-7.27258874391194,-10.8660298353531,0.508994246553743,0.66929585636239
1,AE01,8,left,0.2,9,0.993154163068365,0.314262916201107,-5.91042681195204,-4.79446685638194,-10.8660298353531,0.543936184743594,0.441234464567999
1,AE01,9,right,0.1,9,0.995290499312352,0.993081610105331,5.00055352140728,4.48896448892117,4.98897176530716,1.00232147156668,0.899777489248788
1,AE01,9,left,0.1,9,0.994728623710095,0.965794629090575,4.81326139328847,5.20352816557915,4.98897176530716,0.964780243247604,1.04300613640751
1,AE01,10,right,0.01,9,0.997336439784035,0.994674642648376,0.509579577755002,0.507891385438953,0.565149628070223,0.901671968705044,0.898684808788098
1,AE01,10,left,0.01,9,0.997902641594582,0.98373596655669,0.373855280040028,0.588185555768391,0.565149628070223,0.661515572993661,1.04076075883979
1,AE01,11,right,0.01,-9,0.996830821399394,0.994964659697572,-0.128506597324209,-0.436813036463695,-0.565149628070223,0.227385086960087,0.772915728450977
1,AE01,11,left,0.01,-9,0.995910817703482,0.984736732371409,0.019591328982375,-0.14242327296243,-0.565149628070223,-0.0346657380794395,0.252009849937888
1,AE01,12,right,0.2,9,0.996666457603043,0.996194029818676,-9.5358599007683,-9.15044075169105,-10.8660298353531,0.877584549762872,0.842114451215629
1,AE01,12,left,0.2,9,0.997018517735203,0.177127653661575,-9.1424154957632,-5.56217969759842,-10.8660298353531,0.841375887448601,0.511887026069229
1,AE01,13,right,0.01,9,0.989324439581572,0.978162254599836,0.770162292712033,0.569901245087026,0.565149628070223,1.36275820501175,1.00840771502058
