subject,id,trial,source,stream,freq,amp,coeff,slope,slope_tar,gain
1,AE01,1,eyelink,right,0.1,-9,0.99812129737977,-3.09072808249347,-4.98897176530716,0.619512041336074
1,AE01,1,eyelink,left,0.1,-9,0.998768197445092,-3.22470460885081,-4.98897176530716,0.646366578234639
1,AE01,1,adhawk,right,0.1,-9,0.948391715910898,-1.68731932497771,-4.98897176530716,0.33820983648598
1,AE01,1,adhawk,left,0.1,-9,0.990732409402959,-2.31000683465066,-4.98897176530716,0.463022631379522
1,AE01,2,eyelink,right,0.2,9,0.987158063546953,-5.06094222854495,-10.8660298353531,0.465758175270138
1,AE01,2,eyelink,left,0.2,9,0.987598259403744,-4.89910507988352,-10.8660298353531,0.45086431328801
1,AE01,2,adhawk,right,0.2,9,0.926778809354145,-3.25663371220098,-10.8660298353531,0.299707783021668
1,AE01,2,adhawk,left,0.2,9,0.982630337743687,-3.4172950521226,-10.8660298353531,0.314493435404003
1,AE01,3,eyelink,right,0.01,9,0.995129386199497,0.279137267561134,0.565149628070223,0.493917457778897
1,AE01,3,eyelink,left,0.01,9,0.992360819816455,0.160665729526164,0.565149628070223,0.284288835285583
1,AE01,3,adhawk,right,0.01,9,0.93186972810445,-0.00576226734403059,0.565149628070223,-0.0101960030721538
1,AE01,3,adhawk,left,0.01,9,-0.757294391731335,0.858955099707516,0.565149628070223,1.51987200741957
1,AE01,4,eyelink,right,0.01,-9,0.989453304968993,-0.421147915283073,-0.565149628070223,0.74519719091232
1,AE01,4,eyelink,left,0.01,-9,0.975946541688149,0.0227490365177208,-0.565149628070223,-0.0402531212758652
1,AE01,4,adhawk,right,0.01,-9,0.593022890958913,-0.467641601108381,-0.565149628070223,0.827465113451819
1,AE01,4,adhawk,left,0.01,-9,0.896046071200591,-1.71603851450286,-0.565149628070223,3.03643217524975
1,AE01,5,eyelink,right,0.2,-9,0.991841532380867,7.91906214487231,10.8660298353531,0.728790760274491
1,AE01,5,eyelink,left,0.2,-9,0.990260981688231,7.86376098601566,10.8660298353531,0.723701398318506
1,AE01,5,adhawk,right,0.2,-9,0.906720060185957,4.91700285266532,10.8660298353531,0.452511444121719
1,AE01,5,adhawk,left,0.2,-9,0.989934312749509,9.16401863617116,10.8660298353531,0.84336402301746
1,AE01,6,eyelink,right,0.2,9,0.994343405381094,-6.94929674769889,-10.8660298353531,0.639543315543736
1,AE01,6,eyelink,left,0.2,9,0.995407525159144,-7.11584046923466,-10.8660298353531,0.654870323113135
1,AE01,6,adhawk,right,0.2,9,0.960377490602018,-4.70519232099008,-10.8660298353531,0.433018535038577
1,AE01,6,adhawk,left,0.2,9,0.956836182504556,-8.99821405686898,-10.8660298353531,0.828105038658451
1,AE01,7,eyelink,right,0.01,-9,0.993223634653618,-0.335225917987002,-0.565149628070223,0.593163122360487
1,AE01,7,eyelink,left,0.01,-9,0.989677112537356,0.00943004153133617,-0.565149628070223,-0.0166859200872807
1,AE01,7,adhawk,right,0.01,-9,0.974474697681895,-0.0959200819335614,-0.565149628070223,0.169725108483382
1,AE01,7,adhawk,left,0.01,-9,0.953191777934087,-0.110152032420959,-0.565149628070223,0.194907732306376
1,AE01,8,eyelink,right,0.01,-9,0.952747338901815,-0.551166180056022,-0.565149628070223,0.975257087115232
1,AE01,8,eyelink,left,0.01,-9,0.956214931916291,-0.237570488750373,-0.565149628070223,0.420367415902915
1,AE01,8,adhawk,right,0.01,-9,0.972886591327011,-0.24979783279382,-0.565149628070223,0.44200300307511
1,AE01,8,adhawk,left,0.01,-9,0.963478032313609,-1.59413839894362,-0.565149628070223,2.82073688057977
1,AE01,9,eyelink,right,0.01,9,0.847163938154731,-0.147247106115617,0.565149628070223,-0.260545347288667
1,AE01,9,eyelink,left,0.01,9,0.972153251802788,-0.254693856530441,0.565149628070223,-0.450666237541599
1,AE01,9,adhawk,right,0.01,9,-0.164520370750873,-0.128625216363799,0.565149628070223,-0.227594976578162
1,AE01,9,adhawk,left,0.01,9,0.727973093581349,-0.833680449907454,0.565149628070223,-1.47514995763894
1,AE01,10,eyelink,right,0.2,9,0.995842076389002,-8.00899531294814,-10.8660298353531,0.737067303725829
1,AE01,10,eyelink,left,0.2,9,0.995417959367981,-7.94910057299032,-10.8660298353531,0.73155519480791
1,AE01,10,adhawk,right,0.2,9,0.938851145469193,-5.79258056138933,-10.8660298353531,0.533090802175317
1,AE01,10,adhawk,left,0.2,9,0.966575222879848,-10.7212982525978,-10.8660298353531,0.986680362105725
1,AE01,11,eyelink,right,0.1,-9,0.964617446061429,-3.19935629670534,-4.98897176530716,0.641285709202318
1,AE01,11,eyelink,left,0.1,-9,0.978372530415488,-3.14338745255552,-4.98897176530716,0.630067196293702
1,AE01,11,adhawk,right,0.1,-9,0.969543388012674,-2.1401550438391,-4.98897176530716,0.42897718097375
1,AE01,11,adhawk,left,0.1,-9,0.960337154931883,-1.00925630365038,-4.98897176530716,0.202297457497887
1,AE01,12,eyelink,right,0.01,9,0.953989980023864,0.348361012460302,0.565149628070223,0.616404922090856
1,AE01,12,eyelink,left,0.01,9,0.976480375793578,0.291369963530648,0.565149628070223,0.515562514878704
1,AE01,12,adhawk,right,0.01,9,0.979136610277144,0.305138188502656,0.565149628070223,0.539924602878339
1,AE01,12,adhawk,left,0.01,9,0.267648359142239,-2.20479672095507,0.565149628070223,-3.90126191621789
1,AE01,13,eyelink,right,0.1,9,0.998088200926187,2.53286299882169,4.98897176530716,0.507692389929922
1,AE01,13,eyelink,left,0.1,9,0.99816421388373,2.65324846844411,4.98897176530716,0.531822706813968
1,AE01,13,adhawk,right,0.1,9,0.995433025513799,1.72098727758692,4.98897176530716,0.344958311761655
1,AE01,13,adhawk,left,0.1,9,0.978687409639417,5.45060254994112,4.98897176530716,1.09253024598056
1,AE01,14,eyelink,right,0.1,9,0.997648405037861,3.2102814357868,4.98897176530716,0.643475567071916
1,AE01,14,eyelink,left,0.1,9,0.997375340351866,3.30113135720407,4.98897176530716,0.661685716515741
1,AE01,14,adhawk,right,0.1,9,0.995159985441061,2.05662466675509,4.98897176530716,0.412234176400167
1,AE01,14,adhawk,left,0.1,9,0.990696725284679,5.58453763872544,4.98897176530716,1.11937647704479
1,AE01,15,eyelink,right,0.1,9,0.996929848745301,2.6142004375073,4.98897176530716,0.523995837315858
1,AE01,15,eyelink,left,0.1,9,0.997257256848297,2.54114797087704,4.98897176530716,0.509353047164536
1,AE01,15,adhawk,right,0.1,9,0.981209714634731,0.895564861889972,4.98897176530716,0.179508905646179
1,AE01,15,adhawk,left,0.1,9,0.990965889220628,4.96187258891966,4.98897176530716,0.994568184054289
1,AE01,16,eyelink,right,0.1,9,0.998691177664955,3.94844304495328,4.98897176530716,0.79143423348482
1,AE01,16,eyelink,left,0.1,9,0.998172088786594,4.17678170195282,4.98897176530716,0.837202914435749
1,AE01,16,adhawk,right,0.1,9,0.982808380753323,1.6881842236108,4.98897176530716,0.338383198588189
1,AE01,16,adhawk,left,0.1,9,0.994375908713306,5.54423836254251,4.98897176530716,1.11129880531628
1,AE01,17,eyelink,right,0.1,9,0.960599273620262,2.14777999709009,4.98897176530716,0.430505542650201
1,AE01,17,eyelink,left,0.1,9,0.930874013477907,1.51104950953953,4.98897176530716,0.302877943717226
1,AE01,17,adhawk,right,0.1,9,0.873860980874149,2.42330948261461,4.98897176530716,0.485733252584445
1,AE01,17,adhawk,left,0.1,9,0.992936612283821,5.06130496351644,4.98897176530716,1.01449861847531
1,AE01,18,eyelink,right,0.1,-9,0.997987825503387,-3.30983174350059,-4.98897176530716,0.663429640255102
1,AE01,18,eyelink,left,0.1,-9,0.998315561137063,-3.40788170116798,-4.98897176530716,0.68308298011748
1,AE01,18,adhawk,right,0.1,-9,0.995670018167324,-2.01597039095621,-4.98897176530716,0.404085347801541
