subject,id,trial,stream,freq,amp,coeff_el,coeff_ah,slope_el,slope_ah,slope_tar,gain_el,gain_ah
1,AE01,1,right,0.1,-9,0.997845738777304,0.952270583452207,-3.09858601892646,-1.44651074305604,-4.98897176530716,0.621087102651839,0.289941657540525
1,AE01,1,left,0.1,-9,0.998547206998194,0.991269157950898,-3.22475414908547,-2.70802819414484,-4.98897176530716,0.646376508183531,0.542802870318131
1,AE01,2,right,0.2,9,0.987076163836473,0.926778809354145,-5.167635396693,-3.25663371220098,-10.8660298353531,0.475577140408713,0.299707783021668
1,AE01,2,left,0.2,9,0.987485402035209,0.982630337743687,-4.91077809416455,-4.95516060705354,-10.8660298353531,0.451938580012648,0.456023099709491
1,AE01,3,right,0.01,9,0.994984279644022,0.943503382481243,0.279137267561134,-0.14609110384589,0.565149628070223,0.493917457778897,-0.258499867273623
1,AE01,3,left,0.01,9,0.99243156195095,-0.544203336395778,0.207486726858995,-2.56492261369099,0.565149628070223,0.367135916849995,-4.53848412224785
1,AE01,4,right,0.01,-9,0.98907711663783,0.598385177407311,-0.421147915283073,NaN,-0.565149628070223,0.74519719091232,NaN
1,AE01,4,left,0.01,-9,0.97529265573929,0.896046071200591,0.0227490365177208,-1.71603851450286,-0.565149628070223,-0.0402531212758652,3.03643217524975
1,AE01,5,right,0.2,-9,0.991529175659773,0.906720060185957,7.92019770271676,4.91700285266532,10.8660298353531,0.728895265587072,0.452511444121719
1,AE01,5,left,0.2,-9,0.989966931876803,0.989934312749509,7.86376098601566,9.16401863617116,10.8660298353531,0.723701398318506,0.84336402301746
1,AE01,6,right,0.2,9,0.993889219264234,0.960403163574567,-6.94493270328939,-4.69375414168451,-10.8660298353531,0.639141692828206,0.431965880161048
1,AE01,6,left,0.2,9,0.99504494794972,0.956836182504556,-7.11142087416203,-8.99821405686898,-10.8660298353531,0.654463588073788,0.828105038658451
1,AE01,7,right,0.01,-9,0.992988689384166,0.974474697681895,-0.378801484444534,-0.0959200819335614,-0.565149628070223,0.670267599286938,0.169725108483382
1,AE01,7,left,0.01,-9,0.98970532980112,0.953191777934087,-0.168532709780647,-1.43179141974076,-0.565149628070223,0.298209007685493,2.53347316998119
1,AE01,8,right,0.01,-9,0.951407343205801,0.972886591327011,-0.551166180056022,-0.268597291963501,-0.565149628070223,0.975257087115232,0.475267572732308
