subject,id,trial,stream,freq,amp,conj
1,AE01,1,eyelink,0.1,-9,0.416786877398749
1,AE01,1,adhawk,0.1,-9,2.66576966043958
1,AE01,1,target,0.1,-9,0
1,AE01,2,eyelink,0.2,9,-0.00275905464521805
1,AE01,2,adhawk,0.2,9,-0.914180238622559
1,AE01,2,target,0.2,9,0
1,AE01,3,eyelink,0.01,9,0.128226389661921
1,AE01,3,adhawk,0.01,9,1.16957598543129
1,AE01,3,target,0.01,9,0
1,AE01,4,eyelink,0.01,-9,-0.141140101101861
1,AE01,4,adhawk,0.01,-9,0.636073964740869
1,AE01,4,target,0.01,-9,0
1,AE01,5,eyelink,0.2,-9,-0.085754958780854
1,AE01,5,adhawk,0.2,-9,-0.795238660802954
1,AE01,5,target,0.2,-9,0
1,AE01,6,eyelink,0.2,9,-0.138068223309486
1,AE01,6,adhawk,0.2,9,0.617316139246761
1,AE01,6,target,0.2,9,0
1,AE01,7,eyelink,0.01,-9,-0.23370689119963
1,AE01,7,adhawk,0.01,-9,1.56920893123192
1,AE01,7,target,0.01,-9,0
1,AE01,8,eyelink,0.01,-9,-0.038063646599702
1,AE01,8,adhawk,0.01,-9,1.66702371828424
1,AE01,8,target,0.01,-9,0
1,AE01,9,eyelink,0.01,9,-0.402440582390269
1,AE01,9,adhawk,0.01,9,-0.794662710118024
1,AE01,9,target,0.01,9,0
1,AE01,10,eyelink,0.2,9,-0.124763522265017
1,AE01,10,adhawk,0.2,9,-1.96454620156216
1,AE01,10,target,0.2,9,0
1,AE01,11,eyelink,0.1,-9,0.333678639187936
1,AE01,11,adhawk,0.1,-9,1.2167985834039
1,AE01,11,target,0.1,-9,0
1,AE01,12,eyelink,0.01,9,-0.252549930655501
1,AE01,12,adhawk,0.01,9,0.705360086281757
1,AE01,12,target,0.01,9,0
1,AE01,13,eyelink,0.1,9,0.00756133726655077
1,AE01,13,adhawk,0.1,9,-1.62506494358529
1,AE01,13,target,0.1,9,0
1,AE01,14,eyelink,0.1,9,-0.338418844504503
1,AE01,14,adhawk,0.1,9,-5.06365987458504
1,AE01,14,target,0.1,9,0
1,AE01,15,eyelink,0.1,9,-0.18863770614365
1,AE01,15,adhawk,0.1,9,-4.0754142314354
1,AE01,15,target,0.1,9,0
1,AE01,16,eyelink,0.1,9,-0.216581355018995
1,AE01,16,adhawk,0.1,9,-3.07955906342528
1,AE01,16,target,0.1,9,0
1,AE01,17,eyelink,0.1,9,0.107178693951071
1,AE01,17,adhawk,0.1,9,-4.06851172454316
1,AE01,17,target,0.1,9,0
1,AE01,18,eyelink,0.1,-9,0.175030708920813
1,AE01,18,adhawk,0.1,-9,2.01481855445882
1,AE01,18,target,0.1,-9,0
1,AE01,19,eyelink,0.1,-9,0.44869308439739
1,AE01,19,adhawk,0.1,-9,3.71478690313487
1,AE01,19,target,0.1,-9,0
1,AE01,20,eyelink,0.2,-9,0.0840029319706174
1,AE01,20,adhawk,0.2,-9,0.137088380481675
1,AE01,20,target,0.2,-9,0
1,AE01,21,eyelink,0.01,9,-0.0439020238098881
1,AE01,21,adhawk,0.01,9,-2.48062985905166
1,AE01,21,target,0.01,9,0
1,AE01,22,eyelink,0.1,-9,0.276209216640875
1,AE01,22,adhawk,0.1,-9,2.77021740845408
1,AE01,22,target,0.1,-9,0
1,AE01,23,eyelink,0.01,-9,0.00285891585663569
1,AE01,23,adhawk,0.01,-9,0.570184275285897
