subject,eye,trial,target_freq,el_freq,ah_freq,el_freq_gain,ah_freq_gain,target_amp,el_amp,ah_amp,el_amp_gain,ah_amp_gain
AE02,left,9,0.1,0.10189242,0.10072143,1.018924199,1.007214298,9,8.79297804,5.611445018,0.97699756,0.623493891
AE02,left,12,0.2,0.215021941,0.208449948,1.075109704,1.042249738,9,9.161049109,6.526055698,1.017894345,0.7251173
AE02,left,14,0.2,0.202220204,0.1984526,1.01110102,0.992263002,9,8.836982688,5.89941617,0.981886965,0.655490686
AE02,left,15,0.1,0.100793266,0.111416187,1.007932663,1.114161871,9,9.17100619,4.748945323,1.019000688,0.527660592
AE02,left,16,0.2,0.200708113,0.144207623,1.003540567,0.721038113,9,9.233253567,7.036919979,1.025917063,0.781879998
AE02,left,17,0.1,0.099432002,0.099528227,0.994320019,0.995282268,9,9.455311552,6.196416062,1.050590172,0.688490674
AE02,left,18,0.1,0.103351752,0.102053769,1.033517518,1.020537692,9,8.68724415,6.372197787,0.96524935,0.708021976
AE02,left,22,0.2,0.200753838,0.201675158,1.00376919,1.008375792,9,9.151691571,6.37744593,1.016854619,0.708605103
AE02,left,25,0.1,0.107571784,0.109661344,1.075717841,1.09661344,9,8.57855736,6.49154346,0.95317304,0.721282607
AE02,left,27,0.2,0.194344087,0.143459211,0.971720437,0.717296057,9,8.817337117,5.781400838,0.979704124,0.642377871
AE03,right,1,0.2,0.205636369,0.204036841,1.028181847,1.020184203,9,8.860112523,9.293163626,0.984456947,1.032573736
AE03,right,2,0.1,0.10198217,0.11411442,1.019821696,1.1411442,9,8.717186694,7.96215773,0.968576299,0.884684192
AE03,right,3,0.1,0.100002089,0.106748772,1.000020894,1.067487719,9,8.465686079,8.347872351,0.940631787,0.927541372
AE03,right,4,0.2,0.205263153,0.198620162,1.026315764,0.993100809,9,8.85910871,9.321523483,0.984345412,1.035724831
AE03,right,6,0.1,0.102573835,0.103784683,1.025738348,1.037846834,9,9.107588354,8.727256316,1.011954262,0.969695146
AE03,right,8,0.2,0.202810805,0.194061597,1.014054025,0.970307986,9,7.48404622,7.68891318,0.831560691,0.854323687
AE03,right,12,0.2,0.181836979,0.114805583,0.909184893,0.574027913,9,7.583859116,10.69919228,0.842651013,1.188799142
AE03,right,14,0.2,0.204230632,0.201596334,1.021153162,1.007981668,9,8.527419704,9.407171765,0.947491078,1.045241307
