subject,eye,trial,target_freq,el_freq,ah_freq,el_freq_gain,ah_freq_gain,target_amp,el_amp,ah_amp,el_amp_gain,ah_amp_gain
AE08,right,20,0.2,0.20727883,0.203268059,1.036394148,1.016340294,9,6.934081225,6.416421218,0.770453469,0.712935691
AE08,right,22,0.1,0.099993896,0.101793255,0.999938964,1.017932552,9,6.784045773,5.565858328,0.753782864,0.618428703
AE08,right,25,0.2,0.197887219,0.182011601,0.989436097,0.910058007,9,6.514526799,5.976671822,0.723836311,0.664074647
AE08,right,27,0.2,0.203414797,0.197367793,1.017073986,0.986838964,9,6.430175487,5.757477542,0.714463943,0.639719727
AE08,right,28,0.2,0.206891078,0.178579054,1.034455389,0.892895269,9,6.852346377,6.09689943,0.76137182,0.67743327
AE08,left,1,0.1,0.107303591,0.10696729,1.07303591,1.069672898,9,5.559919925,4.979810797,0.617768881,0.553312311
AE08,left,2,0.2,0.20384055,0.203957677,1.019202752,1.019788384,9,6.593723828,5.588858654,0.732635981,0.620984295
AE08,left,5,0.2,0.201277223,0.201672475,1.006386114,1.008362377,9,7.121675901,6.141726007,0.791297322,0.682414001
AE08,left,6,0.2,0.20034173,0.194789227,1.001708651,0.973946136,9,6.421787697,5.647871337,0.713531966,0.62754126
AE08,left,10,0.2,0.199403354,0.195539581,0.997016767,0.977697906,9,5.851711086,5.260380048,0.650190121,0.584486672
AE08,left,11,0.1,0.097476672,0.100301418,0.974766722,1.003014177,9,6.543227169,5.733311346,0.727025241,0.637034594
AE08,left,13,0.1,0.102306966,0.103699639,1.023069662,1.03699639,9,6.43425524,5.460271871,0.714917249,0.606696875
AE08,left,14,0.1,0.104015217,0.111501705,1.040152171,1.115017046,9,6.335135447,4.708680713,0.703903939,0.523186746
AE08,left,15,0.1,0.10333855,0.104763766,1.033385503,1.047637658,9,6.374955072,5.442438377,0.708328341,0.604715375
AE08,left,17,0.1,0.102679061,0.105507881,1.026790609,1.055078812,9,6.118028976,5.12789584,0.679780997,0.569766204
AE08,left,18,0.1,0.103605096,0.106720608,1.036050955,1.067206076,9,5.90715282,5.010883449,0.656350313,0.556764828
AE08,left,19,0.1,0.095522477,0.105825594,0.955224774,1.05825594,9,5.963955821,4.460025197,0.662661758,0.495558355
AE08,left,20,0.2,0.203678675,0.198204809,1.018393375,0.991024047,9,7.341059345,6.47265065,0.815673261,0.719183406
AE08,left,22,0.1,0.099616951,0.100271463,0.996169509,1.002714633,9,6.833600643,5.68507669,0.75928896,0.631675188
AE08,left,25,0.2,0.195652278,0.145147627,0.978261392,0.725738134,9,6.86263955,6.227397195,0.762515506,0.691933022
AE08,left,27,0.2,0.203743076,0.202182298,1.01871538,1.010911488,9,6.888189509,5.929195397,0.76535439,0.658799489
AE08,left,28,0.2,0.205142691,0.149689886,1.025713457,0.748449432,9,7.294435934,6.368039532,0.810492882,0.707559948
AE09,right,1,0.1,0.103492653,0.198624652,1.034926534,1.986246516,9,6.360767267,5.766936091,0.706751919,0.640770677
AE09,right,2,0.2,0.206684911,0.204330424,1.033424554,1.021652121,9,6.384473563,5.856367635,0.709385951,0.650707515
AE09,right,5,0.2,0.20550214,0.194166415,1.027510698,0.970832073,9,6.561959342,6.380327234,0.729106594,0.708925248
AE09,right,6,0.2,0.203701068,0.195836262,1.018505339,0.979181309,9,6.535804292,5.856058381,0.726200477,0.650673154
AE09,right,10,0.2,0.203134239,0.199636452,1.015671193,0.998182261,9,6.566526794,5.902025349,0.729614088,0.655780594
AE09,right,11,0.1,0.100335038,0.101956235,1.003350384,1.01956235,9,5.6908432,5.740908067,0.632315911,0.637878674
AE09,right,13,0.1,0.095124248,0.141693218,0.951242482,1.416932175,9,6.517689171,3.638950963,0.724187686,0.404327885
AE09,right,14,0.1,0.097448377,0.096197037,0.97448377,0.961970369,9,6.398562259,5.35324664,0.710951362,0.594805182
AE09,right,15,0.1,0.098916389,0.095181873,0.989163889,0.951818725,9,6.578192549,6.377885249,0.730910283,0.708653917
AE09,right,16,0.1,0.098217551,0.103576252,0.982175512,1.035762515,9,6.281122505,5.350088137,0.697902501,0.594454238
AE09,right,17,0.1,0.09766611,0.111402045,0.976661102,1.114020453,9,6.532350167,4.243210345,0.725816685,0.471467816
AE09,right,18,0.1,0.095846791,0.099228583,0.958467908,0.992285834,9,6.507456274,6.45867548,0.723050697,0.717630609
AE09,right,19,0.1,0.106568636,0.108816101,1.065686358,1.08816101,9,5.956354862,4.93934012,0.661817207,0.548815569
