subject,trial,EL_quality,AH_quality,EL_Right_P1_t_start,EL_Right_P1_t_end,EL_Right_P1_pos_start,EL_Right_P1_pos_end,EL_Right_P1_latency,EL_Right_P1_amp,EL_Right_P1_gain,EL_Right_P1_vel,EL_Right_P2_t_start,EL_Right_P2_t_end,EL_Right_P2_pos_start,EL_Right_P2_pos_end,EL_Right_P2_latency,EL_Right_P2_amp,EL_Right_P2_gain,EL_Right_P2_vel,EL_Left_P1_t_start,EL_Left_P1_t_end,EL_Left_P1_pos_start,EL_Left_P1_pos_end,EL_Left_P1_latency,EL_Left_P1_amp,EL_Left_P1_gain,EL_Left_P1_vel,EL_Left_P2_t_start,EL_Left_P2_t_end,EL_Left_P2_pos_start,EL_Left_P2_pos_end,EL_Left_P2_latency,EL_Left_P2_amp,EL_Left_P2_gain,EL_Left_P2_vel,EL_Avg_P1_t_start,EL_Avg_P1_t_end,EL_Avg_P1_pos_start,EL_Avg_P1_pos_end,EL_Avg_P1_latency,EL_Avg_P1_amp,EL_Avg_P1_gain,EL_Avg_P1_vel,EL_Avg_P2_t_start,EL_Avg_P2_t_end,EL_Avg_P2_pos_start,EL_Avg_P2_pos_end,EL_Avg_P2_latency,EL_Avg_P2_amp,EL_Avg_P2_gain,EL_Avg_P2_vel,AH_Right_P1_t_start,AH_Right_P1_t_end,AH_Right_P1_pos_start,AH_Right_P1_pos_end,AH_Right_P1_latency,AH_Right_P1_amp,AH_Right_P1_gain,AH_Right_P1_vel,AH_Right_P2_t_start,AH_Right_P2_t_end,AH_Right_P2_pos_start,AH_Right_P2_pos_end,AH_Right_P2_latency,AH_Right_P2_amp,AH_Right_P2_gain,AH_Right_P2_vel,AH_Left_P1_t_start,AH_Left_P1_t_end,AH_Left_P1_pos_start,AH_Left_P1_pos_end,AH_Left_P1_latency,AH_Left_P1_amp,AH_Left_P1_gain,AH_Left_P1_vel,AH_Left_P2_t_start,AH_Left_P2_t_end,AH_Left_P2_pos_start,AH_Left_P2_pos_end,AH_Left_P2_latency,AH_Left_P2_amp,AH_Left_P2_gain,AH_Left_P2_vel,AH_Avg_P1_t_start,AH_Avg_P1_t_end,AH_Avg_P1_pos_start,AH_Avg_P1_pos_end,AH_Avg_P1_latency,AH_Avg_P1_amp,AH_Avg_P1_gain,AH_Avg_P1_vel,AH_Avg_P2_t_start,AH_Avg_P2_t_end,AH_Avg_P2_pos_start,AH_Avg_P2_pos_end,AH_Avg_P2_latency,AH_Avg_P2_amp,AH_Avg_P2_gain,AH_Avg_P2_vel
AE05,1,1,1,1252,1280,-0.411134924,4.427560138,252,4.838695061,83.27797657,226.4763009,2228,2268,4.51809745,-5.746489384,228,-10.26458683,NaN,376.8076864,1252,1280,-0.524376028,4.91911973,252,5.443495758,93.68710086,269.8488968,2228,2268,4.491183293,-6.050979352,228,-10.54216265,NaN,356.510771,1252,1280,-0.467755476,4.673339934,252,5.14109541,88.48253872,248.1625989,2228,2268,4.504640371,-5.898734368,228,-10.40337474,NaN,366.6592287,1200,1240,0.310688369,3.981150299,200,3.67046193,63.1717103,129.8584668,2176,2224,3.96328342,-4.595498222,176,-8.558781641,NaN,255.7672702,1200,1232,14.60703281,18.32058117,200,3.713548351,63.91326353,160.9062146,2176,2228,17.90438507,9.994769146,176,-7.909615921,NaN,218.1244358,1200,1236,7.458860592,11.13585688,200,3.676996289,63.28417207,144.7784896,2176,2228,10.93383424,2.628153971,176,-8.305680272,NaN,235.2228525
AE05,2,1,1,1200,1224,-0.24126752,2.512017737,200,2.753285257,93.90407772,143.4455335,2224,2272,2.241671932,-9.912563787,224,-12.15423572,NaN,358.2935713,1200,1224,-0.750845063,2.15563129,200,2.906476353,99.12884277,173.5212823,2224,2272,1.789239828,-10.43728167,224,-12.2265215,NaN,330.1582933,1200,1224,-0.496056292,2.333824514,200,2.829880805,96.51646024,158.4834079,2224,2272,2.01545588,-10.17492273,224,-12.19037861,NaN,344.2259323,1112,1140,0.536862497,2.278522632,112,1.741660134,59.40139626,79.2386358,2128,2184,2.279245514,-8.007184475,128,-10.28642999,NaN,283.5005931,1108,1136,14.0643867,16.12488828,108,2.060501584,70.27586422,94.23873649,2132,2188,15.64912494,6.15051115,132,-9.498613788,NaN,232.6584918,1112,1140,7.374449637,9.273165155,112,1.898715518,64.75795747,82.65415009,2132,2188,8.888315963,-0.980507668,132,-9.868823631,NaN,255.8076955
AE05,3,1,1,1316,1360,-0.307738044,-11.11676551,316,-10.80902746,94.5769436,327.5551985,2232,2284,-11.0788341,2.836283972,232,13.91511807,NaN,357.8971536,1316,1360,-0.814843236,-11.57589015,316,-10.76104692,94.15712296,308.8887252,2232,2284,-11.74826732,2.951699597,232,14.69996692,NaN,406.735833,1316,1360,-0.56129064,-11.34632783,316,-10.78503719,94.36703328,316.5033822,2232,2284,-11.41355071,2.893991785,232,14.30754249,NaN,382.3164933,1256,1312,0.393815113,-8.87411064,256,-9.267925753,81.09259547,259.9969496,2172,2240,-8.592851389,2.495378816,172,11.0882302,NaN,287.8508989,1256,1312,13.76390441,5.265677102,256,-8.498227306,74.3578798,231.9341364,2172,2236,4.70401062,16.51182086,172,11.80781024,NaN,302.2853369,1256,1312,7.078859761,-1.804216769,256,-8.88307653,77.72523764,225.7630975,2172,2240,-1.944420384,9.548491426,172,11.49291181,NaN,271.2105962
AE05,4,1,1,1248,1276,-0.110786623,4.50097049,248,4.611757113,79.37218526,212.0661231,2248,2308,4.784682427,-11.31337569,248,-16.09805812,NaN,387.6472804,1248,1276,-0.499758715,4.496076924,248,4.995835639,85.98249695,242.2271096,2248,2308,4.642854981,-11.51444403,248,-16.15729901,NaN,359.8304156,1248,1276,-0.305272669,4.498523707,248,4.803796376,82.6773411,227.1466164,2248,2308,4.713768704,-11.41390986,248,-16.12767856,NaN,373.0080855,1172,1212,0.834385235,4.363044972,172,3.528659736,60.7311763,118.6986912,2164,2236,4.846082832,-8.930009049,164,-13.77609188,NaN,312.2408957,1172,1204,14.01208192,17.49116861,172,3.479086689,59.87798283,151.6805773,2172,2244,17.51095545,5.206922051,172,-12.3040334,NaN,275.305735,1172,1208,7.423233578,10.89319252,172,3.469958945,59.72088674,135.1896343,2168,2240,11.13304884,-1.809472845,168,-12.94252168,NaN,271.1205973
AE05,5,1,1,1236,1288,-0.305276186,-10.87715927,236,-10.57188308,92.50197518,301.1585213,2228,2284,-11.4316857,2.337533858,228,13.76921956,NaN,345.0595799,1236,1288,-0.755768068,-11.16890508,236,-10.41313701,91.11297713,275.7925785,2228,2284,-12.00525058,2.573444792,228,14.57869537,NaN,390.959042,1236,1288,-0.530522127,-11.02303217,236,-10.49251004,91.80747611,287.7993679,2228,2284,-11.71846814,2.455489325,228,14.17395747,NaN,368.0093109,1156,1216,0.440118523,-8.482139148,156,-8.922257672,78.06806521,227.506826,2144,2216,-8.742825788,2.512060913,144,11.2548867,NaN,260.1749218,1156,1216,13.35090319,5.304667713,156,-8.046235479,70.4030369,185.0992414,2148,2208,4.594085547,15.9826577,148,11.38857215,NaN,260.1012697,1156,1216,6.895510857,-1.588735718,156,-8.484246575,74.23555105,205.9247721,2144,2212,-2.153191304,9.238132594,144,11.3913239,NaN,241.5358936
AE05,6,1,1,1320,1360,0.14279153,8.552653023,320,8.409861494,68.45613135,327.3494787,2220,2284,10.99582489,-9.25910301,220,-20.2549279,NaN,434.9614419,1324,1356,-0.172334442,8.725912031,324,8.898246473,72.43157688,369.1990764,2220,2284,10.99108009,-9.175146295,220,-20.16622639,NaN,422.0651328,1320,1360,-0.043083279,8.695789095,320,8.738872374,71.13427439,348.2742776,2220,2284,10.99345249,-9.217124653,220,-20.21057714,NaN,428.5132874,1256,1308,1.097968694,7.565808252,256,6.467839557,52.64810539,224.0775498,2160,2228,9.278837767,-7.274408433,160,-16.5532462,NaN,345.9389177,1260,1308,14.06013231,20.68809626,260,6.627963945,53.95151522,222.7934272,2156,2236,22.30323325,7.05874718,156,-15.24448607,NaN,283.4254611,1260,1308,7.660584462,14.12695225,260,6.466367793,52.63612526,217.4763774,2156,2232,15.87447236,-0.080191779,156,-15.95466414,NaN,289.5406656
AE05,7,1,1,1284,1316,0.686845016,4.977766356,284,4.29092134,73.85033409,190.0993563,2256,2312,4.948444342,-8.711479877,256,-13.65992422,NaN,358.8853355,1284,1312,0.290505018,4.723557011,284,4.433051994,76.29652116,220.7352689,2256,2312,4.662420817,-8.975890606,256,-13.63831142,NaN,340.0544234,1284,1316,0.488675017,4.877557153,284,4.388882136,75.53632107,205.4173126,2256,2312,4.80543258,-8.843685241,256,-13.64911782,NaN,349.4090758,952,996,1.424844127,4.674059625,-48,3.249215498,55.92170796,90.80796268,1924,1988,4.863278339,-6.590154032,-76,-11.45343237,NaN,264.4010729,956,988,14.54672822,17.62780866,-44,3.081080439,53.0279634,131.908839,1928,1996,17.48387435,7.137938482,-72,-10.34593587,NaN,225.0895871,956,996,8.066590511,11.26095242,-44,3.194361911,54.97763199,111.3584008,1928,1992,11.09632679,0.276980361,-72,-10.81934643,NaN,237.6351332
AE05,8,1,1,1204,1244,-0.307738044,8.615237126,204,8.92297517,77.6936345,292.2223967,2184,2232,10.30149821,-2.234297411,184,-12.53579562,NaN,341.5588611,1204,1244,-0.556378245,9.081547705,204,9.63792595,83.91881428,343.9325019,2184,2236,10.40632389,-2.226922815,184,-12.63324671,NaN,335.7977177,1204,1244,-0.432058145,8.848392415,204,9.28045056,80.80622439,318.0510127,2184,2236,10.35391105,-2.230610113,184,-12.58452116,NaN,337.5350349,1164,1220,0.781427792,7.671890435,164,6.890462643,59.99625416,223.7512919,2144,2200,8.961875298,-1.03748267,144,-9.999357968,NaN,282.4094401,1160,1212,13.76686747,20.91505984,160,7.148192367,62.24034411,211.3452638,2144,2204,21.83929243,12.71085495,144,-9.128437486,NaN,218.6640624,1164,1216,7.35845464,14.25098385,164,6.892529207,60.01424803,217.3131295,2144,2204,15.40058387,5.776219408,144,-9.624364458,NaN,224.9291826
AE05,9,1,1,1224,1264,-0.593303447,-9.599312646,224,-9.006009199,73.97944666,285.87938,2240,2316,-11.76242576,9.299867541,240,21.0622933,NaN,397.2210731,1220,1268,-0.632689785,-9.778727021,220,-9.146037236,75.1297005,269.7903241,2244,2312,-12.22647658,10.1393579,244,22.36583448,NaN,442.3664498,1224,1264,-0.676997255,-9.64358018,224,-8.966582925,73.65558135,277.834852,2244,2312,-11.95550646,9.681242173,244,21.63674864,NaN,419.6959538,1172,1224,0.210646649,-7.602699429,172,-7.813346078,64.18237053,225.5446407,2192,2276,-9.360087332,7.963419903,192,17.32350724,NaN,316.4567373,1176,1228,13.50397173,6.469670476,176,-7.034301258,57.78294283,174.0510874,2188,2272,4.379884292,21.89665669,188,17.5167724,NaN,344.2130339,1172,1228,6.91872157,-0.63118121,172,-7.549902779,62.01832771,199.7978641,2192,2276,-2.401996732,14.97524554,192,17.37724227,NaN,311.6569685
AE05,10,1,1,1208,1252,-0.563763323,9.20393595,208,9.767699274,85.04876937,310.8606161,2216,2268,10.34200735,-3.153005083,216,-13.49501243,NaN,357.5708827,1208,1248,-0.868993955,9.594525645,208,10.4635196,91.10737752,352.2447899,2216,2268,10.31579674,-3.437644504,216,-13.75344125,NaN,348.6916178,1208,1248,-0.716378639,9.327233356,208,10.043612,87.45118135,330.6603861,2216,2268,10.32890205,-3.295324793,216,-13.62422684,NaN,353.1312502,1144,1200,0.455146002,7.640497901,144,7.185351899,62.56389753,240.0082617,2148,2212,9.10835246,-1.834701943,148,-10.9430544,NaN,300.4912018,1148,1196,13.69695885,21.35606611,148,7.659107268,66.688954,210.9565196,2156,2220,21.78058584,11.8138942,156,-9.966691641,NaN,238.2054647,1144,1196,7.007122662,14.39700352,144,7.389880859,64.34476075,225.4823906,2152,2216,15.3521932,5.174872161,152,-10.17732104,NaN,266.4253983
