subject,trial,EL_quality,AH_quality,EL_Right_P1_t_start,EL_Right_P1_t_end,EL_Right_P1_pos_start,EL_Right_P1_pos_end,EL_Right_P1_latency,EL_Right_P1_amp,EL_Right_P1_gain,EL_Right_P1_vel,EL_Right_P2_t_start,EL_Right_P2_t_end,EL_Right_P2_pos_start,EL_Right_P2_pos_end,EL_Right_P2_latency,EL_Right_P2_amp,EL_Right_P2_gain,EL_Right_P2_vel,EL_Left_P1_t_start,EL_Left_P1_t_end,EL_Left_P1_pos_start,EL_Left_P1_pos_end,EL_Left_P1_latency,EL_Left_P1_amp,EL_Left_P1_gain,EL_Left_P1_vel,EL_Left_P2_t_start,EL_Left_P2_t_end,EL_Left_P2_pos_start,EL_Left_P2_pos_end,EL_Left_P2_latency,EL_Left_P2_amp,EL_Left_P2_gain,EL_Left_P2_vel,EL_Avg_P1_t_start,EL_Avg_P1_t_end,EL_Avg_P1_pos_start,EL_Avg_P1_pos_end,EL_Avg_P1_latency,EL_Avg_P1_amp,EL_Avg_P1_gain,EL_Avg_P1_vel,EL_Avg_P2_t_start,EL_Avg_P2_t_end,EL_Avg_P2_pos_start,EL_Avg_P2_pos_end,EL_Avg_P2_latency,EL_Avg_P2_amp,EL_Avg_P2_gain,EL_Avg_P2_vel,AH_Right_P1_t_start,AH_Right_P1_t_end,AH_Right_P1_pos_start,AH_Right_P1_pos_end,AH_Right_P1_latency,AH_Right_P1_amp,AH_Right_P1_gain,AH_Right_P1_vel,AH_Right_P2_t_start,AH_Right_P2_t_end,AH_Right_P2_pos_start,AH_Right_P2_pos_end,AH_Right_P2_latency,AH_Right_P2_amp,AH_Right_P2_gain,AH_Right_P2_vel,AH_Left_P1_t_start,AH_Left_P1_t_end,AH_Left_P1_pos_start,AH_Left_P1_pos_end,AH_Left_P1_latency,AH_Left_P1_amp,AH_Left_P1_gain,AH_Left_P1_vel,AH_Left_P2_t_start,AH_Left_P2_t_end,AH_Left_P2_pos_start,AH_Left_P2_pos_end,AH_Left_P2_latency,AH_Left_P2_amp,AH_Left_P2_gain,AH_Left_P2_vel,AH_Avg_P1_t_start,AH_Avg_P1_t_end,AH_Avg_P1_pos_start,AH_Avg_P1_pos_end,AH_Avg_P1_latency,AH_Avg_P1_amp,AH_Avg_P1_gain,AH_Avg_P1_vel,AH_Avg_P2_t_start,AH_Avg_P2_t_end,AH_Avg_P2_pos_start,AH_Avg_P2_pos_end,AH_Avg_P2_latency,AH_Avg_P2_amp,AH_Avg_P2_amp,AH_Avg_P2_vel
AE03,11,1,1,1236,1280,-8.677800521,-17.8601166,236,-9.182316079,80.34352703,284.7833882,2044,2096,-4.412876311,5.34650671,44,9.759383022,NaN,253.7597248,1236,1280,-9.639996693,-19.23639362,236,-9.596396925,83.96665603,281.3475015,2044,2092,-5.607532722,5.87563391,44,11.48316663,NaN,345.4504001,1236,1280,-9.158898607,-18.54825511,236,-9.389356502,82.15509153,283.0654448,2044,2092,-5.010204517,5.565913459,44,10.57611798,NaN,299.3393748,1156,1212,12.05533754,-3.315548166,156,-15.37088571,134.4923395,469.8811693,1960,2028,18.47955142,31.47837203,-40,12.99882061,NaN,396.6589858,1156,1212,9.659666422,-2.441542675,156,-12.1012091,105.8832883,378.4745563,1960,2024,14.54044752,26.03517545,-40,11.49472793,NaN,335.521081,1156,1212,10.85750198,-2.878545421,156,-13.7360474,120.1878138,424.1778628,1960,2024,16.50999947,28.64705525,-40,12.13705578,NaN,366.0900334
AE03,12,1,1,1188,1232,-9.050337284,0.401287707,188,9.451624991,82.2966649,286.2042038,2208,2232,-13.09128077,-15.17693292,208,-2.085652151,NaN,106.3630518,1188,1232,-10.94837004,-0.706537528,188,10.24183251,89.17711598,318.5994434,2208,2232,-15.17005313,-17.40396641,208,-2.233913282,NaN,103.2687266,1188,1232,-9.999353663,-0.152624911,188,9.846728752,85.73689045,301.4510718,2208,2232,-14.13066695,-16.29044966,208,-2.159782717,NaN,104.3878407,1136,1188,12.0361379,23.58290258,136,11.54676468,100.539349,381.7441626,2156,2188,5.572476885,2.041769434,156,-3.530707451,NaN,150.0877697,1136,1188,7.994611653,20.03582512,136,12.04121347,104.8445861,372.001635,2156,2188,2.629440825,-0.286886541,156,-2.916327366,NaN,126.4778317,1136,1188,10.01537477,21.80936385,136,11.79398908,102.6919676,376.3630496,2156,2188,4.100958855,0.877441447,156,-3.223517408,NaN,137.0727725
AE03,13,1,1,1204,1240,-9.047936258,-2.703650399,204,6.344285859,73.26418765,227.8523509,2192,2244,-2.750321147,-13.27332408,192,-10.52300293,NaN,299.0241143,1204,1244,-10.91988983,-3.942697542,204,6.977192285,80.57302842,239.7405388,2192,2244,-4.263558103,-15.26403808,192,-11.00047998,NaN,311.0770393,1204,1240,-9.983913042,-3.422386576,204,6.561526467,75.77289501,233.7964448,2192,2244,-3.506939625,-14.26868108,192,-10.76174145,NaN,302.6777986,1156,1204,12.28607294,20.14667161,156,7.860598671,90.77465752,287.4865554,2148,2204,20.55511577,5.313747972,148,-15.24136779,NaN,508.3177052,1156,1204,8.349937024,16.40753737,156,8.057600347,93.0496445,306.1300234,2148,2204,16.03308946,3.195919356,148,-12.8371701,NaN,402.7351078,1156,1204,10.31800498,18.27710449,156,7.959099509,91.91215101,296.8082894,2148,2204,18.29410261,4.254833664,148,-14.03926895,NaN,455.5264065
AE03,14,1,1,1220,1264,-9.778727021,-17.05134943,220,-7.272622413,63.63406905,213.5435386,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1220,1264,-11.39620302,-19.32194188,220,-7.925738857,69.34871427,232.8531954,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1220,1264,-10.58746502,-18.18664566,220,-7.599180635,66.49139166,221.6405688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1084,1148,12.6865284,-0.754828634,84,-13.44135704,117.609329,413.319636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1092,1148,8.4739152,-1.710033852,92,-10.18394905,89.10762587,387.7289102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1088,1148,10.58799713,-1.232431243,88,-11.82042837,103.4265101,400.5242731,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AE03,15,1,1,1236,1256,-9.685455486,-8.116409091,236,1.569046395,53.51419881,86.14027019,2240,2284,-9.941228935,-17.34790745,240,-7.40667851,NaN,211.9675999,1236,1260,-11.26365626,-9.649567985,236,1.614088272,55.05040575,84.53045457,2236,2284,-11.75298696,-19.73525009,236,-7.982263129,NaN,228.9436663,1236,1256,-10.47455587,-8.9427861,236,1.531769772,52.24283512,85.10124563,2240,2284,-10.90725598,-18.54157877,240,-7.634322783,NaN,220.3884814,1184,1212,12.97165416,15.12110963,184,2.149455461,73.3097423,120.192885,2176,2240,12.38304461,-1.227807791,176,-13.6108524,NaN,431.8363415,1184,1212,8.758046161,10.89701586,184,2.138969702,72.95211298,117.2482201,2184,2240,7.892094921,-2.541347437,184,-10.43344236,NaN,359.072014,1184,1212,10.86485016,13.00906274,184,2.144212582,73.13092765,118.7205525,2180,2240,10.03120786,-1.884577614,180,-11.91578547,NaN,395.4541778
AE03,16,1,1,1220,1248,-9.639996693,-6.440224226,220,3.199772467,55.07075217,146.0367683,2212,2256,-10.39679718,-16.75384686,212,-6.357049673,NaN,190.9605163,1220,1248,-11.22576324,-7.889473879,220,3.336289365,57.42032182,142.0983683,2212,2256,-12.25939365,-19.11779491,212,-6.858401251,NaN,200.2430481,1220,1248,-10.43287997,-7.164849053,220,3.268030916,56.24553699,144.0675683,2212,2256,-11.32809542,-17.93582088,212,-6.607725462,NaN,194.3190926,1124,1164,12.82240053,17.00570063,124,4.183300099,71.9980828,177.3379389,2116,2172,11.52403423,0.315970979,116,-11.20806325,NaN,361.1439128,1128,1164,9.137044533,12.91214361,128,3.775099079,64.97260288,172.5094699,2116,2172,7.512813353,-1.413259162,116,-8.926072514,NaN,288.0104495,1124,1164,10.87791921,14.95892212,124,4.081002907,70.23746283,174.9237044,2116,2172,9.51842379,-0.548644091,116,-10.06706788,NaN,324.5771812
AE03,17,1,1,1228,1248,-9.426895834,-8.140536181,228,1.286359652,43.87283026,69.87829466,2220,2280,-8.812481463,-17.05809992,220,-8.245618459,NaN,193.7296384,1228,1252,-10.96023518,-9.429291699,228,1.530943482,52.21465351,73.69575596,2220,2276,-10.41346854,-19.21224848,220,-8.798779936,NaN,211.293954,1228,1252,-10.19356551,-8.731823526,228,1.461741981,49.85445378,71.78702531,2220,2280,-9.612975002,-18.17467123,220,-8.561696225,NaN,202.5117962,1136,1172,13.58746867,15.57011654,136,1.982647872,67.62057051,87.32976585,2128,2204,14.37056558,-0.330658857,128,-14.70122444,NaN,406.5224313,1144,1172,9.080910809,10.87984164,144,1.798930827,61.35468156,85.32731712,2132,2200,9.671964774,-1.795691736,132,-11.46765651,NaN,330.576462,1144,1172,11.41854641,13.22497909,144,1.806432677,61.6105411,86.32854148,2128,2204,12.06067334,-1.109624054,128,-13.1702974,NaN,368.5494466
AE03,18,1,1,1264,1288,-10.09641081,-12.0853108,264,-1.988899995,69.20644074,98.26223492,2228,2276,-11.68925816,-2.170381816,228,9.518876347,NaN,259.4716012,1264,1288,-11.25418394,-13.47372254,264,-2.219538605,77.23182026,107.0494273,2228,2280,-13.38055542,-3.126005104,228,10.25455031,NaN,286.1991493,1264,1288,-10.67529737,-12.77951667,264,-2.1042193,73.2191305,102.6558311,2228,2280,-12.53490679,-2.607627759,228,9.927279031,NaN,271.1187766,1192,1228,12.40397869,9.119036699,192,-3.284941988,114.3039588,115.1297958,2156,2224,9.501950978,22.07138887,156,12.56943789,NaN,345.6856789,1196,1224,8.716708719,6.353759486,196,-2.362949232,82.22198522,102.5337789,2156,2220,6.192176555,18.53334217,156,12.34116561,NaN,391.8275424,1196,1228,10.46209366,7.641579317,196,-2.82051434,98.14357635,108.8317874,2156,2224,7.847063766,20.34380221,156,12.49673844,NaN,368.7566106
AE03,19,1,1,1204,1252,-10.39679718,-17.66809958,204,-7.271302398,59.72977775,209.5746324,2228,2300,-18.19848164,-0.288043152,228,17.91043849,NaN,306.8815209,1204,1248,-11.80017448,-19.50808287,204,-7.707908394,63.31625754,228.6182472,2228,2304,-20.09433571,-0.482526485,228,19.61180922,NaN,346.817147,1204,1248,-11.09848583,-18.43920901,204,-7.340723181,60.30003157,218.2493694,2228,2304,-19.14640867,-0.372975464,228,18.77343321,NaN,325.0391373,1116,1172,12.30908649,-1.087666232,116,-13.39675273,110.0470066,406.6188597,2136,2232,-1.877722721,24.30437674,136,26.18209946,NaN,551.5718809,1116,1176,8.076729649,-1.999057705,116,-10.07578735,82.76708987,314.5322504,2140,2228,-3.262783886,21.40628476,140,24.66906865,NaN,474.0073173,1116,1172,10.19290807,-1.438807917,116,-11.63171599,95.54819383,360.5755551,2140,2228,-2.52258852,22.79696768,140,25.3195562,NaN,505.7754319
AE03,20,1,1,1200,1248,-9.888672334,-1.250460861,200,8.638211472,75.21415582,241.7711005,2188,2200,-11.13098724,-11.70814384,188,-0.577156594,NaN,47.42452465,1200,1248,-11.36071148,-1.894993312,200,9.465718172,82.41937626,258.1150342,2192,2200,-12.89259359,-13.43180629,192,-0.539212703,NaN,55.4470869,1200,1248,-10.62469191,-1.572727087,200,9.051964822,78.81676604,249.9430674,2188,2200,-11.93220171,-12.56997506,188,-0.637773348,NaN,50.5295525,1140,1196,12.70902654,23.03846003,140,10.32943349,89.93987038,338.1643343,2124,2148,10.78649682,9.611997849,124,-1.174498973,NaN,53.63575308,1140,1200,8.652646977,19.53965176,140,10.88700478,94.79472419,306.8697632,2140,2152,6.477540964,5.855902274,140,-0.62163869,NaN,48.62788257,1140,1196,10.68083676,21.17624477,140,10.49540801,91.38503451,317.50897,2124,2152,8.887365021,7.616295946,124,-1.271069075,NaN,48.65221974
AE03,21,1,1,1204,1256,-9.6184593,-0.952678341,204,8.665780959,75.45420733,236.5701182,2188,2216,-10.83916626,-13.92918531,188,-3.090019053,NaN,135.6114559,1204,1260,-11.32521111,-1.491591329,204,9.833619778,85.62274872,258.7581225,2188,2216,-12.41211499,-15.82161102,188,-3.409496029,NaN,162.526757,1204,1260,-10.4718352,-1.22090421,204,9.250930993,80.54919325,247.0231127,2188,2216,-11.62564062,-14.87539816,188,-3.249757541,NaN,149.0691064,1156,1224,13.51501872,24.24369114,156,10.72867242,93.41610144,288.4797802,2140,2184,11.31419285,5.840137827,140,-5.474055022,NaN,208.6083288,1156,1224,8.697195933,19.91432342,156,11.21712749,97.66915034,277.7843105,2140,2184,7.287553064,3.000840463,140,-4.286712602,NaN,143.5169525,1156,1224,11.10610733,22.07900728,156,10.97289995,95.54262585,283.1320453,2140,2184,9.300872957,4.420489145,140,-4.880383812,NaN,174.4678942
