,subject,tracker,amp_r,amp_l,diff
0,AE01,EL,0.7367747615246912,0.5608180044074075,0.1759567571172839
1,AE01,Ideal,0.7367747615246912,0.5608180044074075,0.0
2,AE01,ML,1.289750431845679,0.9793546225493827,0.31039580929629623
3,AE02,EL,0.16254912495882348,0.18391593100588235,-0.02136680604705884
4,AE02,Ideal,0.16254912495882348,0.18391593100588235,0.0
5,AE02,ML,0.07352650080588237,0.5794986064470588,-0.5059721056411765
6,AE03,EL,-1.2452903698424242,-1.0385139133454546,-0.20677645649696974
7,AE03,Ideal,-1.2452903698424242,-1.0385139133454546,0.0
8,AE03,ML,-2.870307048381818,-1.1262725367636364,-1.744034511618182
9,AE04,EL,0.24474606394827583,0.4547940688448276,-0.21004800489655168
10,AE04,Ideal,0.24474606394827583,0.4547940688448276,0.0
11,AE04,ML,-0.3719599753965516,0.6858441569425288,-1.0578041323390805
12,AE05,EL,-0.25993293368786136,0.10455636194219652,-0.36448929563005783
13,AE05,Ideal,-0.25993293368786136,0.10455636194219652,0.0
14,AE05,ML,-0.4930367627456647,-0.12272298951445088,-0.3703137732312139
15,AE06,EL,0.10085562330032723,0.7504015060390206,-0.6495458827386934
16,AE06,Ideal,0.10085562330032723,0.7504015060390206,0.0
17,AE06,ML,-1.1091795168405094,1.349662836962186,-2.4588423538026953
18,AE07,EL,0.10067650269364159,0.6049228332485549,-0.5042463305549133
19,AE07,Ideal,0.10067650269364159,0.6049228332485549,0.0
20,AE07,ML,-1.4085751647398843,0.42573684199999995,-1.8343120067398846
21,AE08,EL,0.47301229247671245,0.8549889496222215,-0.3819766571455091
22,AE08,Ideal,0.47301229247671245,0.8549889496222215,0.0
23,AE08,ML,-0.5962191005198246,0.553738274653089,-1.1499573751729137
24,AE09,EL,-0.12632626670760227,0.44610462735087714,-0.5724308940584795
25,AE09,Ideal,-0.12632626670760227,0.44610462735087714,0.0
26,AE09,ML,-1.7119250508304094,0.6082933180233918,-2.3202183688538014
27,AE10,EL,0.0170217054729729,-0.05096016417567571,0.06798186964864858
28,AE10,Ideal,0.0170217054729729,-0.05096016417567571,0.0
29,AE10,ML,-0.8613823058445945,0.07124669113513513,-0.9326289969797298
30,AE11,EL,-0.010902316441860429,0.3167705467848837,-0.3276728632267441
31,AE11,Ideal,-0.010902316441860429,0.3167705467848837,0.0
32,AE11,ML,-0.06341113827906977,4.946952482290698,-5.010363620569767
33,AE12,EL,-0.03427602677852348,0.14201310919463098,-0.17628913597315438
34,AE12,Ideal,-0.03427602677852348,0.14201310919463098,0.0
35,AE12,ML,-0.8091623251342283,-0.38776540030201334,-0.4213969248322148
36,AE13,EL,-0.0596887432951807,0.34165358762650605,-0.40134233092168675
37,AE13,Ideal,-0.0596887432951807,0.34165358762650605,0.0
38,AE13,ML,0.1764294064819277,0.8673487564759036,-0.6909193499939759
