,subject,amp,vel,eye,tracker
124,AE01,-8.056425445,254.5931971,right,EL
125,AE01,-5.870065665,208.6492363,right,EL
127,AE01,10.638166,321.2441395,right,EL
128,AE01,-2.289221397,112.5237988,right,EL
130,AE01,-4.472441062,202.2434494,right,EL
131,AE01,8.700877618,262.6352944,right,EL
133,AE01,-7.272751261,218.915315,right,EL
134,AE01,10.53872485,252.6576716,right,EL
135,AE01,-7.364147041,198.3753025,right,EL
136,AE01,10.45070122,300.4295445,right,EL
137,AE01,-2.220378991,110.7803112,right,EL
138,AE01,-5.724077781,166.0177988,right,EL
139,AE01,-6.640864835,183.8649866,right,EL
140,AE01,6.351032903,229.517168,right,EL
141,AE01,10.63907348,324.0287981,right,EL
142,AE01,2.470127733,136.5517997,right,EL
143,AE01,3.108915482,146.494706,right,EL
144,AE01,4.510755353,233.2151246,right,EL
146,AE01,-10.18294808,222.1593049,right,EL
147,AE01,-7.884816528,165.049279,right,EL
148,AE01,1.889268432,107.2014958,right,EL
149,AE01,7.860676444,276.9265156,right,EL
150,AE01,2.557478221,148.9984042,right,EL
151,AE01,5.320915975,219.1708718,right,EL
152,AE01,9.169236518,297.4102276,right,EL
153,AE01,5.125814976,211.4396644,right,EL
156,AE01,-2.38024118,119.4922705,right,EL
158,AE01,-5.007917897,199.6157315,right,EL
160,AE01,9.945590425,253.9237542,right,EL
161,AE01,7.136221029,213.9568087,right,EL
162,AE01,3.76207497,161.852716,right,EL
163,AE01,-8.224242405,242.4147021,right,EL
164,AE01,-5.843336769,176.5409431,right,EL
165,AE01,8.128974695,193.1609131,right,EL
166,AE01,-9.685832613,280.5307964,right,EL
167,AE01,6.485507161,252.1634051,right,EL
168,AE01,-10.23631081,258.3846325,right,EL
169,AE01,7.278613736,270.0621312,right,EL
170,AE01,-10.75459432,216.5584771,right,EL
171,AE01,-5.327348399,201.5933599,right,EL
172,AE01,4.349173508,162.1226211,right,EL
173,AE01,7.526327276,266.155139,right,EL
174,AE01,10.64812303,257.0698501,right,EL
0,AE02,4.63511193,190.3809863,right,EL
1,AE02,2.03333152,113.8575644,right,EL
2,AE02,-10.66986897,263.5063742,right,EL
3,AE02,3.946544581,170.2463065,right,EL
4,AE02,-9.986410095,270.8956121,right,EL
5,AE02,10.87812516,268.8817755,right,EL
6,AE02,4.523168658,169.8337146,right,EL
7,AE02,9.189871412,271.2175,right,EL
8,AE02,-10.84308206,264.9863513,right,EL
9,AE02,10.7168277,279.6825752,right,EL
11,AE02,10.38037816,280.4892159,right,EL
12,AE02,7.221865806,216.1091958,right,EL
13,AE02,-9.814532367,253.2102239,right,EL
14,AE02,2.3680365,120.2159872,right,EL
15,AE02,5.211398934,170.4655407,right,EL
16,AE02,1.954550079,114.8832495,right,EL
18,AE02,-11.362621,272.1131215,right,EL
19,AE02,9.417019905,271.4709345,right,EL
20,AE02,10.32297311,293.348925,right,EL
21,AE02,5.132941039,177.2366922,right,EL
22,AE02,6.82324228,222.3203517,right,EL
23,AE02,9.77927049,272.1255951,right,EL
24,AE02,10.10104111,282.8671079,right,EL
25,AE02,-7.888816768,225.9546563,right,EL
26,AE02,-7.50307383,237.5271389,right,EL
27,AE02,5.054285227,178.8767546,right,EL
28,AE02,2.060410887,119.2919715,right,EL
29,AE02,-10.42104404,259.9228165,right,EL
30,AE02,4.948125352,197.0076328,right,EL
31,AE02,-2.111951665,107.5652012,right,EL
32,AE02,-7.880111967,228.9846665,right,EL
33,AE02,-4.842009119,171.8684706,right,EL
34,AE02,6.977845224,208.4137095,right,EL
35,AE02,-2.88532596,144.9114355,right,EL
