,id_start_el,id_end_el,id_start_ah,id_end_ah,t_start_el,t_end_el,t_start_ah,t_end_ah,pos_start_el,pos_end_el,pos_start_ah,pos_end_ah,amp_el,amp_ah,peak_vel_el,peak_vel_ah,subject,task,trial,corr
0,560.0,570.0,596.0,610.0,2.244,2.248,2.2439999999999998,2.2479999999999998,-5.669574267503128,-14.350679253178624,-3.9078025174463336,-15.93106614979511,-8.681104985675496,-12.023263632348776,284.00599220414875,368.1259458911955,AE06,HMS,0,0.7620106393111682
1,332.0,340.0,369.0,380.0,1.332,1.336,1.336,1.34,-10.014242790200669,-5.308995063291137,-9.826148084997719,-3.431755299980093,4.705247726909532,6.394392785017626,194.40339509963334,232.14443646832854,AE06,HMS,0,0.7620106393111682
0,565.0,577.0,632.0,647.0,2.264,2.268,2.276,2.2800000000000002,-8.141646200612938,-18.55338270384337,-6.732339600770413,-21.222267616511996,-10.411736503230431,-14.489928015741583,289.8121826233773,930.5280843775508,AE06,HMS,1,0.6768328399752304
1,307.0,313.0,401.0,404.0,1.232,1.236,1.352,1.356,-10.231468085365986,-7.94062264449514,-7.523039565101184,-5.545922210604557,2.2908454408708456,1.9771173544966274,116.22484675312408,171.2463663446624,AE06,HMS,1,0.6768328399752304
0,559.0,571.0,596.0,598.0,2.24,2.244,2.376,2.38,-18.40820942076407,-7.500183768267196,-17.898612765024524,-18.29545034087102,10.908025652496875,-0.39683757584649726,316.15365287109864,41.68006500801713,AE06,HMS,2,0.6358913957261606
1,317.0,326.0,362.0,364.0,1.272,1.276,1.44,1.444,-10.166482544133583,-17.69723821119429,-9.546467300194395,-9.99684292892521,-7.530755667060706,-0.45037562873081427,257.2975742482737,53.46444054323999,AE06,HMS,2,0.6358913957261606
0,563.0,576.0,745.0,763.0,2.256,2.26,2.26,2.2640000000000002,-5.806005348653376,-18.309736295887312,-3.80047255679628,-22.295033645459082,-12.503730947233937,-18.494561088662802,327.2930212864572,435.67217768128324,AE06,HMS,3,0.9008300212356728
1,319.0,327.0,501.0,513.0,1.28,1.284,1.284,1.288,-10.034495805942887,-5.575141274958792,-9.565402344984262,-3.442163719663193,4.459354530984095,6.123238625321069,189.45534853464994,192.44271833398707,AE06,HMS,3,0.9008300212356728
0,557.0,571.0,475.0,481.0,2.232,2.236,2.04,2.044,-18.61822914359654,-4.777281178653627,-20.129567269199715,-19.73327861358677,13.840947964942913,0.39628865561294546,339.8677015679522,84.1680592614981,AE06,HMS,4,0.8051823631003744
1,316.0,326.0,292.0,293.0,1.268,1.272,1.3079999999999998,1.3119999999999998,-10.364583324037401,-18.68123832333155,-9.222043005548448,-9.45256238516482,-8.316654999294148,-0.23051937961637137,272.41868279094297,45.863511884734514,AE06,HMS,4,0.8051823631003744
0,552.0,568.0,701.0,722.0,2.212,2.216,2.1959999999999997,2.1999999999999997,0.04961347473160713,-18.418823081257422,4.635688436528923,-21.056916279568178,-18.46843655598903,-25.6926047160971,411.3187590887743,558.5332208017172,AE06,HMS,5,0.9630200201410588
1,311.0,322.0,460.0,475.0,1.248,1.252,1.2320000000000002,1.2360000000000002,-9.574265304716356,0.07706194594602528,-9.213041786587608,4.267606021728852,9.651327250662382,13.48064780831646,318.0091329578553,374.1842183600855,AE06,HMS,5,0.9630200201410588
0,563.0,575.0,568.0,583.0,2.256,2.26,2.2399999999999998,2.2439999999999998,-5.725313359456978,-16.609421431085707,-3.6066416713967078,-18.557769471796906,-10.884108071628729,-14.951127800400197,306.12003517372267,388.0881776003758,AE06,HMS,6,0.9252266802649043
