,id_start_el,id_end_el,id_start_ah,id_end_ah,t_start_el,t_end_el,t_start_ah,t_end_ah,pos_start_el,pos_end_el,pos_start_ah,pos_end_ah,amp_el,amp_ah,peak_vel_el,peak_vel_ah,subject,task,trial,corr
0,556.0,566.0,595.0,608.0,2.228,2.232,2.2159999999999997,2.2199999999999998,4.861309611287511,-6.364234644387501,10.933834243526405,2.628153971351887,-11.225544255675011,-8.305680272174518,395.7770736720336,235.22285254688458,AE05,HMS,0,0.9686183408251082
1,312.0,319.0,351.0,360.0,1.252,1.256,1.24,1.244,-0.5049613607297496,5.043220587873949,7.458860591518721,11.135856880539261,5.548181948603699,3.6769962890205408,267.8061306323487,144.77848960119277,AE05,HMS,0,0.9686183408251082
0,555.0,567.0,628.0,642.0,2.224,2.228,2.208,2.212,2.175622236360633,-10.96533265579589,8.888315963087978,-0.9805076680364149,-13.140954892156524,-9.868823631124393,371.37416277763805,255.80769554620804,AE05,HMS,1,0.9062324172596319
1,299.0,305.0,373.0,380.0,1.2,1.204,1.188,1.192,-0.5355113501489173,2.5192352394969078,7.374449636958552,9.273165154648845,3.0547465896458252,1.8987155176902935,171.08031836522483,82.65415009260325,AE05,HMS,1,0.9062324172596319
0,557.0,570.0,649.0,666.0,2.232,2.236,2.224,2.228,-12.294736759215361,3.123755997999426,-1.9444203842098307,9.548491425940782,15.418492757214787,11.492911810150613,412.3649867385503,271.2105961667571,AE05,HMS,2,0.9563266973689144
1,328.0,339.0,420.0,434.0,1.316,1.32,1.3079999999999998,1.3119999999999998,-0.6059335902044322,-12.222666565670949,7.078859760529107,-1.8042167691072355,-11.616732975466517,-8.883076529636343,341.34253328338417,225.7630975225436,AE05,HMS,2,0.9563266973689144
0,561.0,576.0,692.0,710.0,2.248,2.252,2.2319999999999998,2.2359999999999998,5.0868309707854165,-12.295182814785692,11.133048837608708,-1.8094728454635631,-17.382013785571107,-12.942521683072272,402.59253469687224,271.12059733743627,AE05,HMS,3,0.9217562738576465
1,311.0,318.0,443.0,452.0,1.248,1.252,1.236,1.24,-0.32955457824683454,4.854713158251718,7.423233578394689,10.89319252350803,5.184267736498552,3.4699589451133415,245.1662859205081,135.1896342966676,AE05,HMS,3,0.9217562738576465
0,556.0,570.0,729.0,746.0,2.228,2.232,2.216,2.2199999999999998,-12.621751030741702,2.6505421765763093,-2.1531913044664397,9.23813259369124,15.272293207318011,11.39132389815768,396.6243696392586,241.5358936347071,AE05,HMS,4,0.9471887865704623
1,308.0,321.0,482.0,497.0,1.236,1.24,1.228,1.232,-0.5727185795509633,-11.875832106249998,6.8955108574453785,-1.588735717652073,-11.303113526699034,-8.484246575097451,310.33159329511574,205.92477209025904,AE05,HMS,4,0.9471887865704623
0,554.0,570.0,648.0,667.0,2.22,2.224,2.204,2.208,11.844103236680635,-9.936214813664357,15.874472358885008,-0.08019177928777577,-21.78031805034499,-15.954664138172785,462.53273810564997,289.54066560110283,AE05,HMS,5,0.943702749750292
1,329.0,339.0,424.0,436.0,1.32,1.324,1.3079999999999998,1.3119999999999998,-0.0465102754899159,9.375648823862218,7.660584461901049,14.126952254613645,9.422159099352134,6.466367792712596,375.61741642512425,217.47637735342346,AE05,HMS,5,0.943702749750292
0,563.0,577.0,629.0,645.0,2.256,2.26,2.252,2.2560000000000002,5.185669689101345,-9.534699110053861,11.096326793224062,0.27698036113958135,-14.720368799155207,-10.81934643208448,377.1426838209604,237.6351331501796,AE05,HMS,6,0.9937406125376105
1,320.0,328.0,386.0,396.0,1.284,1.288,1.28,1.284,0.5275437334937623,5.263442468749141,8.066590511056985,11.260952421893819,4.735898735255379,3.194361910836834,221.66611269507266,111.35840082548938,AE05,HMS,6,0.9937406125376105
0,545.0,558.0,559.0,574.0,2.184,2.188,2.184,2.188,11.157584489841074,-2.4078438511045035,15.400583866142462,5.776219407806598,-13.565428340945578,-9.624364458335865,363.9665331004537,224.92918256699537,AE05,HMS,7,0.9733606113911957
1,300.0,310.0,314.0,327.0,1.204,1.208,1.204,1.208,-0.4664245803537477,9.539743577246634,7.358454640066104,14.25098384744217,10.006168157600381,6.892529207376065,343.15946208432985,217.3131295390324,AE05,HMS,7,0.9733606113911957
0,560.0,577.0,701.0,722.0,2.244,2.248,2.2279999999999998,2.2319999999999998,-12.87588037518805,10.434919854692957,-2.401996732124396,14.975245537515477,23.310800229881007,17.377242269639872,452.5180302211849,311.65696850382943,AE05,HMS,8,0.9406232493464628
1,304.0,315.0,446.0,460.0,1.22,1.224,1.2080000000000002,1.2120000000000002,-0.6298639643159679,-10.394557032252612,6.918721569568382,-0.6311812096604288,-9.764693067936644,-7.549902779228811,299.50025728056784,199.79786406062468,AE05,HMS,8,0.9406232493464628
0,553.0,566.0,760.0,776.0,2.216,2.22,2.204,2.208,11.130730690339629,-3.556801062050596,15.352193195562734,5.174872160530525,-14.687531752390225,-10.17732103503221,380.6336696706829,266.425398293043,AE05,HMS,9,0.9810507012304236
1,301.0,312.0,508.0,521.0,1.208,1.212,1.1960000000000002,1.2000000000000002,-0.7733557301205443,10.115220935624663,7.007122661727241,14.397003520367136,10.888576665745207,7.389880858639895,356.4819431890723,225.4823906128917,AE05,HMS,9,0.9810507012304236
0,534.0,553.0,636.0,657.0,2.14,2.144,2.132,2.136,-12.267042405751381,9.112578853286283,-1.7333573194731091,13.812834277782207,21.379621259037663,15.546191597255316,373.89186964359396,294.6883852529686,AE05,HMS,10,0.9634844868214016
1,310.0,322.0,411.0,425.0,1.244,1.248,1.232,1.236,-0.7560833881824788,-12.361136365386848,6.846603380742014,-1.8192172733904295,-11.60505297720437,-8.665820654132443,348.391346797741,249.07238120295315,AE05,HMS,10,0.9634844868214016
